,Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Front garden,Total number of floors,Age,New building,Renovation,Developer name,Project name,Kód jednotky,Administration fee,Investment Advisor
49,581839,"CZK 16,400",50.128615,14.483932,"Březenská, Prague - Libeň",1 bedroom with open-plan kitchen,62 m²,"CZK 3,550",Furnished,2.0,No,No,No,No,Yes,Yes,Yes,01. 02. 2022,163.0,"1,180",257,"1,235",458,249,195,728,919,192.0,New build,"CZK 45,000",Personal,Low-energy building,B,Premium materials and solutions,District heating,,Middle floor,1 to 10 years years,Yes,,,,,,
50,605739,"CZK 11,500",50.10469,14.479042,"Novákových, Prague - Libeň",1 bedroom with open-plan kitchen,41 m²,"CZK 1,000",,4.0,No,No,No,No,No,Yes,No,01. 01. 2022,54.0,335,162,334,29,288,357,446,198,393.0,Excellent,"CZK 20,000",Personal,Brick building,G,,Gas boiler,,Middle floor,,,,,,,,
51,618545,"CZK 6,450",49.984797,14.364209,"Vrážská, Prague - Radotín",Studio,25 m²,"CZK 2,450",Furnished,,No,No,No,No,Yes,Yes,No,24. 07. 2020,55.0,616,36,12,175,50,572,621,438,339.0,Excellent,"CZK 8,900",Personal,Other,G,Standard materials and solutions,Central heating,,Ground floor,1 to 10 years years,,Interior,,,,,
52,429687,"CZK 13,500",50.1299316,14.4847606,"Černého, Prague - Střížkov",3 bedroom,72 m²,"CZK 3,600",Partially furnished,7.0,Yes,No,No,No,No,No,No,01. 10. 2021,238.0,"1,269",431,"1,304",324,423,162,808,"1,030",119.0,Excellent,"CZK 13,500",Personal,Prefab concrete building,C,Standard materials and solutions,District heating,,Top floor,30 to 50 years years,,Exterior,,,,,
53,446081,"CZK 14,990",50.0675396,14.3964309,"Tomkova, Prague - Smíchov",Studio,42 m²,"CZK 3,000",Furnished,1.0,Yes,No,No,No,No,Yes,No,16. 01. 2022,315.0,260,253,649,55,347,405,617,470,409.0,,"CZK 30,000",Personal,Brick building,,,,,,,,,,,,,
54,697462,"CZK 16,500",50.1036064,14.5081927,"Kabešova, Prague - Vysočany",1 bedroom with open-plan kitchen,53 m²,"CZK 3,000",Furnished,1.0,No,Yes,No,No,No,No,No,01. 02. 2022,522.0,211,"1,301",795,"1,124","1,437","1,160",230,,,Excellent,"CZK 25,000",Personal,Brick building,C,,,,,,,,,,,,
55,694964,"CZK 19,740",50.0732067,14.4301679,"Legerova, Prague - Nové Město",1 bedroom with open-plan kitchen,55 m²,"CZK 6,580",Furnished,-1.0,No,No,No,No,No,No,No,02. 02. 2022,130.0,623,39,144,67,181,352,471,568,617.0,,,,,,,,,,,,,,,,,
56,696415,"CZK 30,638",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",3 bedroom,92 m²,"CZK 10,212",Furnished,7.0,No,Yes,No,No,No,Yes,No,15. 02. 2022,149.0,274,60,441,20,421,59,552,690,457.0,,,,,,,,,,,,,,,,,
57,696414,"CZK 13,125",50.073014,14.4308483,"Tyršova, Prague - Nové Město",Studio,23 m²,"CZK 4,375",Furnished,5.0,No,No,No,No,No,Yes,No,15. 02. 2022,182.0,528,118,213,29,198,369,452,636,686.0,,,,,,,,,,,,,,,,,
58,696908,"CZK 45,000",50.0862376,14.4435427,"Řehořova, Prague - Žižkov",4 bedroom,120 m²,"CZK 15,000",Furnished,6.0,No,Yes,No,No,No,Yes,No,21. 02. 2022,482.0,754,346,457,298,741,433,473,526,783.0,,,,,,,,,,,,,,,,,
59,694837,"CZK 33,000",50.0920126,14.4239059,"Anežská, Prague - Staré Město",2 bedroom with open-plan kitchen,80 m²,"CZK 11,000",Furnished,2.0,No,No,No,No,No,No,No,01. 02. 2022,157.0,402,153,285,152,248,384,447,194,153.0,,,,,,,,,,,,,,,,,
