Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,Condition,PENB,Age,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
491626,"CZK 17,500",50.0715736,14.4762758,"Bajkalská, Prague - Vršovice",2 bedroom,59 m²,"CZK 2,500",Partially furnished,3,No,No,No,No,No,No,No,,178,65,183,341,66,155,203,284,443,287,"CZK 35,000",Personal,Brick building,,,,,,,,,,,,,
662995,"CZK 17,000",50.08216,14.45073,"Kubelíkova, Prague - Žižkov",1 bedroom with open-plan kitchen,49 m²,"CZK 2,990",Partially furnished,4,No,No,No,No,No,Yes,No,01. 04. 2022,421,127,157,388,60,206,419,527,571,485,"CZK 25,000",Personal,Brick building,,,,Excellent,G,,,Overall,,,,,
698962,"CZK 15,641",50.0719016,14.3887227,"Plzeňská, Prague - Košíře",1 bedroom with open-plan kitchen,53 m²,"CZK 5,214",Furnished,4,Yes,No,No,No,No,No,No,11. 02. 2022,111,"1,148",101,913,158,"1,036",498,826,"1,228",330,,,,,,,,,,,,,,,,
705809,"CZK 20,250",50.0719171,14.4429188,"Rybalkova, Prague - Vinohrady",1 bedroom with open-plan kitchen,48 m²,"CZK 6,750",Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,195,408,97,765,42,717,415,296,511,225,,,,,,,,,,,,,,,,
704699,"CZK 33,000",50.0626569,14.3913498,"Xaveriova, Prague - Smíchov",4 bedroom,102 m²,"CZK 11,000",Furnished,2,Yes,No,No,No,No,No,No,11. 02. 2022,188,955,416,742,203,"1,118",820,240,504,294,,,,,,,,,,,,,,,,
502437,"CZK 15,000",50.0888283,14.3071806,"Vlastina, Prague - Ruzyně",1 bedroom with open-plan kitchen,45 m²,"CZK 4,000",Partially furnished,4,No,No,Yes,No,No,Yes,No,,124,234,256,259,244,316,406,"1,393","1,222",95,"CZK 15,000",Personal,Prefab concrete building,,Central heating,Middle floor,,,30 to 50 years years,,Overall,,,,,
705806,"CZK 16,000",50.12107,14.49464,"Vysočanská, Prague - Prosek",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Furnished,7,No,No,Yes,Yes,Yes,Yes,No,09. 02. 2022,157,549,171,409,362,170,529,208,922,332,"CZK 30,000",Personal,Prefab concrete building,,,,Excellent,G,,,,,,,,
644924,"CZK 12,500",50.046306,14.327188,"Sezemínská, Prague - Stodůlky",1 bedroom with open-plan kitchen,43 m²,"CZK 3,249",Furnished,10,No,No,Yes,No,Yes,Yes,No,08. 02. 2022,387,490,451,432,225,461,221,272,478,169,"CZK 15,749",Personal,Prefab concrete building,Standard materials and solutions,District heating,Middle floor,Excellent,G,,,Interior,,,,,
704850,"CZK 26,111",50.07836,14.44153,"Polská, Prague - Vinohrady",3 bedroom with open-plan kitchen,100 m²,"CZK 5,073",Partially furnished,1,No,No,No,No,No,No,No,01. 03. 2022,224,540,240,297,83,267,259,366,91,432,"CZK 31,184",Personal,Brick building,,,,Good,C,,,,,,,,
690506,"CZK 54,188",50.0809579,14.4249745,"Vodičkova, Prague - Nové Město",1 bedroom,35 m²,"CZK 18,062",Furnished,4,No,No,No,No,No,No,No,11. 02. 2022,134,476,148,50,45,79,203,785,249,355,,,,,,,,,,,,,,,,
