Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Floor space,Fully furnished,Condition,Ownership,Heating,Balcony,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Enclosed balcony,Cellar,Reconstruction,Designe,New-build,Parking,Domácí mazlíčci vítáni,Age,Garage,Terrace,Administrative fee
"CZK 36,750","CZK 12,250",,740918,2 bedroom,9/24/2022,5,,76 m²,Fully furnished,,,,,1.0,173.24,237.07,170.98,194.52,84.53,150.25,482.36,158.74,537.92,88.5,"Slezská, Prague - Vinohrady",50.076837,14.4602531,,,,,,,,,,,,
"CZK 13,500","CZK 3,500","CZK 27,000",740915,2+kk,9/17/2022,2,Prefab concrete,50 m²,Fully furnished,Very good,,,,,285.92,1150.7,436.75,1057.81,354.95,906.26,477.56,393.26,598.22,97.8,Prague - Vysočany,50.0982,14.48607,B,,,,,,,,,,,
"CZK 19,000","CZK 1,250",CZK 38,740916,2+kk,9/17/2022,1,Brick,50 m²,Partly,Very good,,,,,96.85,660.88,24.04,525.62,77.71,659.62,267.68,260.92,272.36,261.39,Prague - Vršovice,50.07159,14.44605,G,,,,,,1.0,1.0,,,,
"CZK 11,000","CZK 3,000","CZK 15,000",11618,Studio,9/6/2022,1,Brick,24 m²,Partly,Very good,Personal,Electric boiler,,,207.9,835.79,161.64,527.79,162.26,253.68,267.97,447.81,321.43,373.7,"Fastrova, Prague - Břevnov",50.084023,14.3748443,B,,,Complete,Standard,,,,,,,
"CZK 18,000","CZK 6,000",,740912,1 bedroom,11/1/2022,1,,48 m²,Fully furnished,,,,,1.0,204.77,465.61,234.08,276.39,71.8,120.68,308.71,446.98,178.85,556.7,"Františka Křížka, Prague - Holešovice",50.1009689,14.4305059,,,,,,,,,,,,
"CZK 25,500","CZK 8,500",,732231,2+kk,11/2/2022,3,,48 m²,Fully furnished,,,,,1.0,188.32,492.36,64.31,169.76,16.44,202.35,307.51,551.4,544.96,488.43,"Řeznická, Prague - Nové Město",50.0781758,14.4220203,,,,,,,,,,,,
"CZK 26,800","CZK 5,800","CZK 53,600",740908,2 bedroom,10/1/2022,3,Brick,86 m²,Partly,Very good,,,1.0,,106.58,840.21,190.06,629.86,175.31,628.2,442.81,310.3,592.93,191.53,Prague - Vršovice,50.0726,14.4617,C,,1.0,,,,,,,,1.0,
"CZK 14,500","CZK 3,900","CZK 29,000",736222,Studio,9/12/2022,4,Prefab concrete,36 m²,Partly,Very good,,,,,112.71,1186.18,101.83,1028.19,56.44,779.74,433.23,768.44,926.9,143.6,Prague - Karlín,50.09687,14.46518,G,,,,,,,,,,1.0,
"CZK 27,000","CZK 9,000",,732124,1 bedroom,11/1/2022,1,,36 m²,Fully furnished,,,,1.0,,241.61,1008.07,337.84,676.78,180.71,627.3,876.02,1008.48,488.31,192.83,"Sanderova, Prague - Holešovice",50.104936,14.458846,,,,,,,,,,,1.0,
"CZK 60,000","CZK 20,000",,717694,2+kk,10/2/2022,3,,,Fully furnished,,,,,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,
