Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Heating,Total number of floors,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
414303,"CZK 26,000",50.0930962,14.4538949,"Křižíkova, Prague - Karlín",1 bedroom with open-plan kitchen,,58 m²,"CZK 6,000","CZK 40,000",Personal,Low-energy building,Furnished,6,Yes,No,Yes,No,Yes,Yes,Yes,15. 05. 2022,B,161,511,147,132,156,194,382,"1,191",193,466,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,,Yes,,,,,,
672892,"CZK 33,000",50.07274,14.43888,"Záhřebská, Prague - Vinohrady",2 bedroom,Excellent,72 m²,"CZK 1,700","CZK 33,000",Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,17. 05. 2022,,264,319,157,536,54,438,208,365,791,604,,,,,,,,,,,,
666825,"CZK 15,000",50.04542,14.45545,"Bítovská, Prague - Michle",Studio,Excellent,24 m²,"CZK 3,000","CZK 27,000",Personal,Prefab concrete building,Furnished,8,No,No,No,No,No,Yes,No,01. 09. 2022,C,284,478,434,537,228,466,430,303,390,47,,,District heating,Middle floor,Interior,,,,,,,
476289,"CZK 25,500",50.0943979,14.4570713,"Petra Slezáka, Prague - Karlín",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 3,000","CZK 40,000",Personal,Brick building,Furnished,2,No,No,Yes,No,No,Yes,No,,C,114,757,111,448,84,312,261,"1,147",362,284,10 to 30 years years,Premium materials and solutions,Electric boiler,Middle floor,Overall,,,,,,,
349579,"CZK 14,600",50.0682921,14.4560677,"Orelská, Prague - Vršovice",2 bedroom,,66 m²,CZK 950,"CZK 14,600",Personal,Brick building,Partially furnished,4,No,No,No,No,No,No,No,01. 06. 2022,,137,178,114,148,98,138,229,382,275,401,,Standard materials and solutions,Gas boiler,Middle floor,Interior,,,,,,,
507636,"CZK 13,000",50.126902049845,14.471852389549,"Střelničná, Prague - Kobylisy",1 bedroom,,35 m²,"CZK 4,000","CZK 26,000",Cooperative,Brick building,Partially furnished,2,No,No,No,No,No,No,No,,G,85,224,154,277,22,197,539,591,"1,029",293,,,,,,,,,,,,
369009,"CZK 13,800",50.0539858,14.5274748,"Zemské právo, Prague - Hostivař",Studio,New build,32 m²,"CZK 1,860","CZK 13,800",Personal,Brick building,Partially furnished,3,Yes,No,Yes,No,No,No,No,01. 06. 2022,B,316,874,170,837,424,879,960,574,423,426,,,,,,Yes,-1 m²,,,,,
467330,"CZK 18,500",50.07502,14.48515,"Krátká, Prague - Vinohrady",2 bedroom,,55 m²,"CZK 1,000","CZK 19,500",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,16. 05. 2022,,350,587,155,440,346,462,589,587,970,285,,,,Middle floor,Interior,,,,,,,
504612,"CZK 19,000",50.0712304,14.4007897,"Radlická, Prague - Smíchov",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 4,000","CZK 19,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 06. 2022,C,117,440,384,59,69,555,304,913,974,295,30 to 50 years years,Standard materials and solutions,Central heating,Middle floor,Overall,,,,,,,
533010,"CZK 16,000",50.1019511,14.4365138,"U Smaltovny, Prague - Holešovice",1 bedroom with open-plan kitchen,,48 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,01. 07. 2022,E,212,907,171,317,77,407,393,"1,490",506,989,,Standard materials and solutions,Gas boiler,Middle floor,,,,,,,,
585766,"CZK 15,500",50.066528,14.551467,"Kryšpínova, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 4,500","CZK 20,000",Personal,Brick building,Unfurnished,4,Yes,No,No,No,No,Yes,Yes,01. 06. 2022,C,348,"1,200",262,181,441,942,"1,110",203,,,,,,,,,,,,,,
717552,"CZK 21,000",50.07037,14.47724,"Kubánské náměstí, Prague - Vršovice",2 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 2,970","CZK 21,000",Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,16. 05. 2022,G,63,135,54,208,90,179,308,213,278,156,,,,,,,,,,,,
718163,"CZK 17,000",50.05253,14.51168,"Mattioliho, Prague - Záběhlice",Studio,New build,38 m²,"CZK 4,000","CZK 25,000",Personal,Brick building,Partially furnished,4,No,Yes,No,No,No,Yes,Yes,23. 05. 2022,A,225,508,498,551,257,504,945,874,761,446,,,,,,,,,,,,
309823,"CZK 19,500",50.0853624,14.450115,"Štítného, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,49 m²,CZK 900,"CZK 30,000",Personal,Brick building,Partially furnished,3,No,No,No,Yes,No,Yes,No,01. 06. 2022,B,257,238,33,194,10,206,79,294,111,536,1 to 10 years years,Standard materials and solutions,Central heating,Top floor,Overall,,,,,,,
717159,"CZK 15,000",50.064779,14.5525555,"Františka Jansy, Prague - Dolní Měcholupy",Studio,New build,45 m²,"CZK 4,000","CZK 20,000",Cooperative,Brick building,Partially furnished,1,No,Yes,No,No,Yes,Yes,No,23. 05. 2022,B,150,845,468,387,639,"1,165",809,100,,,,,,,,,,,,,,
684922,"CZK 9,900",50.03579,14.41528,"Na Vinohradu, Prague - Braník",Studio,Excellent,25 m²,"CZK 1,500","CZK 19,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,09. 05. 2022,,200,452,102,198,138,224,244,515,,,,,,,,,,,,,,
718031,"CZK 22,500",50.0908591,14.471919,"Koněvova, Prague - Žižkov",1 bedroom with open-plan kitchen,,50 m²,"CZK 7,500",,,,Furnished,6,Yes,No,No,No,No,No,No,24. 06. 2022,,137,"1,056",102,289,54,112,349,397,388,279,,,,,,,,,,,,
273866,"CZK 10,000",50.0750941,14.4848995,"Irkutská, Prague - Vinohrady",Studio,,29 m²,CZK 750,CZK 1,Personal,Brick building,Unfurnished,-1,No,No,No,No,No,No,No,05. 05. 2022,,270,723,349,479,359,406,587,571,942,259,over 50 years years,Standard materials and solutions,Other,Ground floor,Interior,,,,,,,
529640,"CZK 9,500",50.0577592,14.2889989,"Na Radosti, Prague - Zličín",Studio,Excellent,25 m²,"CZK 2,800","CZK 19,000",Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,09. 05. 2022,,293,773,615,558,412,669,248,522,50,,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,Overall,,,,,,,
454911,"CZK 13,500",50.1268798,14.4222701,"Hnězdenská, Prague - Troja",1 bedroom with open-plan kitchen,Excellent,47 m²,"CZK 4,000","CZK 35,000",Personal,Low-energy building,Furnished,12,No,No,Yes,No,Yes,Yes,Yes,01. 06. 2022,B,386,336,58,407,200,350,675,"1,006","1,092",317,1 to 10 years years,Premium materials and solutions,District heating,Middle floor,Overall,,,,,,,
611162,"CZK 16,000",50.030212,14.364044,"Kováříkova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 3,800","CZK 16,000",Personal,Brick building,Partially furnished,2,No,Yes,No,No,No,Yes,No,01. 06. 2022,D,380,"1,101",366,"1,082",244,"1,143",471,586,796,326,1 to 10 years years,,District heating,Middle floor,,Yes,,,,,,
717675,"CZK 26,933",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",Studio,,50 m²,"CZK 8,977",,,,Furnished,1,No,No,No,No,No,Yes,Yes,01. 06. 2022,,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,
717599,"CZK 59,250",50.0710929,14.4032595,"Stroupežnického, Prague - Smíchov",3 bedroom with open-plan kitchen,,90 m²,"CZK 19,750",,,,Furnished,2,No,No,No,No,No,Yes,No,16. 05. 2022,,140,528,224,126,38,67,511,"1,001","1,181",559,,,,,,,,,,,,
717633,"CZK 26,775",50.0911861,14.4228786,"U Obecního dvora, Prague - Staré Město",1 bedroom with open-plan kitchen,,50 m²,"CZK 8,925",,,,Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,,154,470,120,271,120,288,315,411,239,203,,,,,,,,,,,,
710132,"CZK 8,990",50.14972722222,14.51586138888,"K Avii, Prague - Čakovice",Studio,Good,28 m²,"CZK 2,859","CZK 11,849",Personal,Brick building,Unfurnished,1,No,No,No,No,No,No,No,,G,216,681,568,922,838,635,868,471,,,,,,,,,,"CZK 11,849

                                
                                
                
i",,,,
247968,"CZK 15,500",50.0413133,14.4366007,"Vikova, Prague - Krč",1 bedroom with open-plan kitchen,,43 m²,"CZK 1,700","CZK 17,200",Personal,Prefab concrete building,Partially furnished,1,Yes,No,No,No,No,No,No,01. 06. 2022,,135,611,82,320,195,512,847,346,580,185,,,District heating,,,,,,,,,
507218,"CZK 35,000",50.0763203,14.3728569,"Libínská, Prague - Smíchov",2 bedroom with open-plan kitchen,,120 m²,"CZK 8,000","CZK 18,000",Personal,Prefab concrete building,Partially furnished,3,Yes,No,No,No,Yes,No,No,,,238,"1,082",705,"1,275",549,"1,065","1,121","1,002",531,470,,,,Top floor,,,,,,,,
718124,"CZK 59,000",50.09419,14.44737,"Rohanské nábřeží, Prague - Karlín",2 bedroom with open-plan kitchen,Excellent,125 m²,"CZK 12,000","CZK 150,000",Personal,Brick building,Furnished,6,No,Yes,No,No,Yes,Yes,Yes,16. 05. 2022,A,235,264,224,210,158,467,552,"1,303",610,317,,,,,,,,,,,,
613183,"CZK 17,000",50.063138,14.447026,"U Pernštejnských, Prague - Nusle",1 bedroom with open-plan kitchen,New build,47 m²,"CZK 2,500","CZK 51,000",Personal,Brick building,Furnished,4,No,Yes,No,No,No,Yes,Yes,16. 06. 2020,B,278,735,249,438,352,481,623,637,801,694,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,Overall,,,,,,,
717952,"CZK 26,000",50.05404,14.36564,"U Kříže, Prague - Jinonice",2 bedroom with open-plan kitchen,Excellent,74 m²,"CZK 4,000","CZK 30,000",Personal,Brick building,Partially furnished,4,No,Yes,Yes,No,Yes,Yes,Yes,09. 05. 2022,G,147,156,551,413,622,326,849,723,298,,,,,,,,,,,,,
704707,"CZK 14,000",50.06597,14.49684,"Strančická, Prague - Strašnice",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 3,500","CZK 28,000",Personal,Brick building,Partially furnished,5,Yes,No,No,No,Yes,Yes,No,01. 05. 2022,B,162,159,"1,182",251,525,370,326,898,414,,10 to 30 years years,Premium materials and solutions,District heating,Middle floor,,,,,,,,
