Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Heating,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Design,Total number of floors,Renovation,Age,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
699847,"CZK 12,000",50.14184,14.57585,"Českodubská, Prague - Vinoř",1 bedroom with open-plan kitchen,Excellent,38 m²,"CZK 3,000",Personal,Brick building,Furnished,1,No,No,Yes,No,No,No,No,01. 03. 2022,,G,223,406,986,338,969,865,565,533,192,,"CZK 15,000",,,,,,,,,,
699845,"CZK 19,990",50.08036,14.45009,"Fibichova, Prague - Žižkov",2 bedroom,Excellent,85 m²,CZK 600,Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,01. 02. 2022,,G,410,370,240,424,83,339,343,383,698,317,"CZK 20,000",,,,,,,,,,
699843,"CZK 14,500",50.12898,14.47246,"Taussigova, Prague - Kobylisy",2 bedroom with open-plan kitchen,Good,64 m²,"CZK 4,500",Personal,Prefab concrete building,Furnished,6,No,No,No,Yes,No,Yes,No,17. 01. 2022,Central heating,D,371,240,195,370,308,284,255,565,"1,310",281,"CZK 20,000",Standard materials and solutions,,,10 to 30 years years,,,,,,
351462,"CZK 13,600",50.1086158,14.4850226,"Kovanecká, Prague - Libeň",1 bedroom,Excellent,35 m²,"CZK 3,400",Personal,Brick building,Furnished,4,Yes,No,Yes,No,No,Yes,Yes,21. 01. 2022,District heating,,419,570,349,613,248,774,389,453,290,469,"CZK 25,000",Standard materials and solutions,Middle floor,,10 to 30 years years,,,,,,
538613,"CZK 11,000",50.0456068,14.4379265,Prague - Krč,1 bedroom,,28 m²,"CZK 2,700",Cooperative,Brick building,Partially furnished,2,No,No,Yes,No,No,No,No,01. 02. 2022,Central heating,,127,592,266,696,381,724,161,267,231,110,"CZK 14,000",Standard materials and solutions,Middle floor,Exterior,,,,,,,
526598,"CZK 9,000",50.1039246,14.5656797,"Generála Janouška, Prague - Černý Most",Studio,,25 m²,"CZK 2,000",Personal,Prefab concrete building,Partially furnished,2,No,No,No,No,No,No,No,01. 01. 1970,,,219,678,213,"1,213",860,597,379,72,"1,076",235,"CZK 11,000",,,,,,,,,,
699019,"CZK 12,500",50.0541789,14.510672,"Jasmínová, Prague - Záběhlice",1 bedroom,Excellent,35 m²,"CZK 3,000",Cooperative,Prefab concrete building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,17. 01. 2022,,C,256,600,550,641,487,595,699,832,989,223,"CZK 12,500",,,,,,,,,,
656209,"CZK 15,000",50.02218,14.45055,"Sulická, Prague - Lhotka",3 bedroom,Excellent,54 m²,"CZK 3,500",Personal,Prefab concrete building,Partially furnished,2,No,No,Yes,Yes,No,Yes,No,01. 03. 2022,District heating,,153,449,421,"1,379",271,445,492,782,699,324,"CZK 20,000",Standard materials and solutions,Middle floor,Overall,,,,,,,
490462,"CZK 15,000",50.1057853,14.4544575,"U Uranie, Prague - Holešovice",2 bedroom,,56 m²,"CZK 3,000",Personal,Brick building,Furnished,2,No,No,Yes,No,No,Yes,No,,,,158,633,144,445,126,399,526,898,318,266,"CZK 40,000",,,,,,,,,,
518593,"CZK 14,000",50.1112905,14.5010464,"Zbuzkova, Prague - Vysočany",1 bedroom,,43 m²,"CZK 3,000",Personal,Brick building,Furnished,5,No,No,No,No,No,No,No,15. 05. 2018,,,163,332,243,119,29,254,389,701,241,39,"CZK 34,000",,,,,,,,,,
