Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Condition,Ownership,Age,Balcony,Parking,New-build,Terrace,Reconstruction,EPC,Designe,Cellar,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee
"CZK 39,600","CZK 13,200",717648,2+kk,9/23/2022,46 m²,Fully furnished,2,,249.05,258.88,108.69,237.41,65.07,536.83,294.74,273.73,806.33,231.2,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 7,000",730773,2 bedroom,9/1/2022,55 m²,Partly,2,,142.89,368.6,396.96,381.66,287.22,1332.25,334.52,695.43,956.12,622.84,Prague - Záběhlice,50.04715,14.48291,"CZK 45,000",Brick,Central,Very good,Personal,30 - 50 years,1.0,,,,Exterior,G,,,,1.0,,
"CZK 17,000","CZK 4,800",726503,2 bedroom,7/19/2022,64 m²,Fully furnished,3,,77.26,1194.19,749.99,1186.85,601.55,675.04,515.47,826.4,1235.44,627.62,Prague - Braník,50.02706,14.41658,"CZK 17,000",Brick,,Very good,Cooperative,,1.0,1.0,,,,,Standard,,,,,
"CZK 45,000","CZK 5,000",625132,3+kk,10/15/2022,120 m²,Partly,5,1.0,298.02,582.29,118.5,369.23,72.95,352.83,295.23,336.0,673.21,91.68,"Baranova, Prague - Žižkov",50.079934,14.457769,"CZK 45,000",Brick,,Very good,Personal,,1.0,,,1.0,,G,Luxurious,,,,,
"CZK 16,900","CZK 4,000",731452,1 bedroom,8/28/2022,35 m²,Fully furnished,2,,75.69,451.17,311.88,104.64,127.64,1147.59,213.25,644.26,475.61,293.22,Prague - Michle,50.05724,14.45039,"CZK 34,000",Brick,,Very good,Personal,,,,,,Complete,,Luxurious,,,,,
"CZK 10,500","CZK 4,300",662259,Studio,9/1/2022,25 m²,Partly,7,1.0,232.42,254.11,185.2,324.23,117.95,268.47,784.91,947.31,1288.52,396.11,"Hnězdenská, Prague - Troja",50.12639,14.42051,"CZK 15,000",Brick,,New-build,Personal,,,,,,,C,,,,,,
"CZK 18,800","CZK 4,900",731453,Studio,8/28/2022,30 m²,Fully furnished,2,,354.21,737.34,455.75,355.35,376.01,575.19,1043.45,328.66,1016.27,67.61,Prague - Střešovice,50.09684,14.38976,"CZK 8,000",Brick,,Very good,,,1.0,,,,,B,,,,,,
"CZK 14,000","CZK 1,650",712897,Studio,10/1/2022,21 m²,Partly,,1.0,152.93,806.07,163.65,319.49,65.27,93.5,536.3,915.84,488.21,814.71,"Šimáčkova, Prague - Holešovice",50.10308,14.43375,"CZK 16,000",Brick,Electric boiler,Very good,Personal,Up to 10 years,,,,,Complete,G,Standard,1.0,,,,
"CZK 18,000","CZK 5,000",425185,2+kk,8/28/2022,56 m²,Fully furnished,1,,85.3,212.78,59.97,163.18,127.61,304.28,276.4,561.91,304.53,301.03,"Za Poštou, Prague - Strašnice",50.0761964,14.4905813,"CZK 22,000",Brick,Other,,Personal,Up to 10 years,,,,,,C,Luxurious,1.0,,,,
"CZK 15,500",CZK 682,727527,Studio,9/1/2022,32 m²,Unfurnished,2,1.0,134.1,1231.17,484.46,487.91,0.66,491.14,797.02,376.04,364.68,547.87,"5. května, Prague - Nusle",50.05624815,14.43716165,"CZK 32,400",Brick,,Good,Personal,,,,,,Interior,E,Standard,1.0,,,,
