Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Balcony,Lift,Terrace,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Cellar,Domácí mazlíčci vítáni,Parking,Ownership,Reconstruction,Age,Designe,Enclosed balcony,Heating,New-build,Garage,Administrative fee,Plot type
"CZK 42,120","CZK 14,040",724853,2+kk,9/12/2022,45 m²,Fully furnished,4,,1.0,,336.41,302.29,48.66,211.39,57.6,35.65,274.52,787.09,193.2,587.05,"Opletalova, Prague - Nové Město",50.0812219,14.4297716,,,,,,,,,,,,,,,,,
"CZK 56,475","CZK 18,825",723104,3+kk,8/22/2022,67 m²,Fully furnished,2,1.0,1.0,1.0,110.1,273.82,156.66,129.22,76.56,142.67,300.13,496.4,282.11,367.31,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,,,,,,
"CZK 14,800","CZK 2,300",730553,1 bedroom,10/1/2022,43 m²,Partly,3,1.0,,,401.18,749.85,140.97,350.8,185.5,213.93,310.4,836.12,264.45,209.65,Prague - Karlín,50.09247,14.45611,"CZK 28,000",G,Very good,Brick,,,1.0,,,,,,,,,,
"CZK 27,000","CZK 5,000",730552,2 bedroom,8/19/2022,93 m²,Fully furnished,1,,1.0,,117.81,529.81,10.96,245.69,114.6,371.46,233.79,188.42,694.67,259.6,Prague - Vinohrady,50.07558,14.45754,"CZK 28,000",G,Very good,Brick,1.0,,,,,,,,,,,,
"CZK 28,000",CZK 700,730414,2 bedroom,8/18/2022,86 m²,Fully furnished,3,,1.0,,228.51,497.33,58.47,391.83,96.19,311.74,217.56,124.03,354.02,362.52,Prague - Vinohrady,50.07892,14.44711,"CZK 28,000",G,Very good,Brick,,,,Personal,Complete,,,,,,,,
"CZK 12,868","CZK 2,132",585948,2+kk,10/1/2022,36 m²,Partly,12,,1.0,,324.6,243.87,139.2,314.0,51.4,222.46,745.96,951.05,1137.62,350.11,"Olštýnská, Prague - Troja",50.127672,14.420039,"CZK 15,000",C,Good,Prefab concrete,,,,Personal,Complete,30 - 50 years,Standard,,Central,,,,
"CZK 16,700","CZK 7,300",729190,2+kk,8/22/2022,53 m²,Partly,4,,1.0,,121.92,892.84,110.89,81.84,92.41,239.77,248.85,617.42,394.99,727.14,Prague - Holešovice,50.10062,14.43414,"CZK 30,000",D,Very good,Brick,1.0,,1.0,,Complete,,Standard,,Central,,,,
"CZK 32,000","CZK 6,000",729867,3+kk,9/1/2022,86 m²,Partly,3,1.0,1.0,,619.74,957.8,1278.08,1960.39,141.51,1073.98,1363.22,1191.22,343.89,293.25,Prague - Letňany,50.14159,14.52344,"CZK 64,000",B,New-build,Brick,,,,,,,,,,,1.0,,
"CZK 14,900","CZK 2,100",730544,Studio,10/1/2022,40 m²,Fully furnished,1,,,1.0,238.89,1093.41,192.63,756.92,68.18,369.6,298.96,478.79,220.68,369.05,Prague - Břevnov,50.08357,14.3772,"CZK 29,000",A,New-build,Low-energy,,,,,,,,,,,,,
"CZK 15,000","CZK 2,700",574643,2 bedroom,9/1/2022,54 m²,Partly,3,,,,78.31,270.98,111.86,177.77,220.6,148.23,200.59,169.97,686.53,257.79,"Na Petřinách, Prague - Břevnov",50.088277,14.346283,"CZK 22,000",D,Very good,Brick,,,,Personal,Interior,,,1.0,Distance,,,,
"CZK 13,000","CZK 4,500",729825,2+kk,9/15/2022,46 m²,Partly,1,,,,174.03,594.0,541.65,1059.35,209.58,827.67,730.29,210.17,539.55,220.53,Prague - Záběhlice,50.0534,14.50354,"CZK 26,000",C,Good,Prefab concrete,,,,,,,,1.0,,,,,
"CZK 21,000","CZK 6,500",607367,2+kk,9/1/2022,55 m²,Fully furnished,4,,1.0,,198.58,426.93,115.73,304.68,64.1,257.35,115.49,281.56,645.2,300.83,"Mlynářská, Prague - Nové Město",50.0920451,14.4340658,"CZK 42,000",E,Very good,Brick,,,,Personal,Interior,Up to 10 years,Standard,,Gas boiler,,,,
