Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,Renovation,PENB,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
695122,"CZK 14,000",50.14774165,14.4489425,"Bolebořská, Prague - Dolní Chabry",2 bedroom,63 m²,"CZK 5,130",Unfurnished,2,No,No,Yes,No,Yes,No,No,28. 04. 2022,159,299,405,368,359,822,757,631,,,Excellent,"CZK 18,000",Cooperative,Brick building,,,,,G,,,,,,,
705725,"CZK 150,000",50.09114,14.41807,"Pařížská, Prague - Josefov",6 bedroom with open-plan kitchen,322 m²,"CZK 15,000",Unfurnished,6,No,Yes,No,No,No,Yes,No,09. 02. 2022,50,344,274,458,40,435,343,586,60,470,Excellent,"CZK 165,000",Personal,Brick building,,,,,G,,,,,,,
716117,"CZK 29,127",50.0925135,14.4556107,"Šaldova, Prague - Karlín",1 bedroom,40 m²,"CZK 9,709",Furnished,2,No,Yes,No,No,No,Yes,No,09. 06. 2022,367,716,142,317,156,180,346,"1,276",231,204,,,,,,,,,,,,,,,,
714304,"CZK 29,520",50.0861053,14.4085409,"Na Kampě, Prague - Malá Strana",1 bedroom with open-plan kitchen,39 m²,"CZK 9,840",Furnished,3,No,No,No,No,No,No,No,16. 05. 2022,417,407,197,386,62,673,443,555,732,174,,,,,,,,,,,,,,,,
716116,"CZK 27,720",50.0925119,14.4502616,"Křižíkova, Prague - Karlín",Studio,51 m²,"CZK 9,240",Furnished,5,Yes,No,No,No,No,Yes,Yes,02. 06. 2022,81,251,125,181,24,205,369,"1,216",241,212,,,,,,,,,,,,,,,,
716115,"CZK 69,743",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",2 bedroom with open-plan kitchen,145 m²,"CZK 23,248",Furnished,6,No,Yes,No,No,No,Yes,Yes,01. 06. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,
449204,"CZK 15,000",50.080914047543,14.457678969311,"Křišťanova, Prague - Žižkov",1 bedroom with open-plan kitchen,49 m²,"CZK 4,000",Furnished,2,No,No,Yes,Yes,No,Yes,No,01. 06. 2022,270,524,229,264,183,637,302,205,533,220,Good,"CZK 30,000",Personal,Brick building,,,,,,,,,,,,
87340,"CZK 28,000",50.0734871,14.3916435,"Zapova, Prague - Smíchov",4 bedroom,112 m²,CZK 987,Partially furnished,3,No,No,No,No,No,No,Yes,,287,"1,211",218,902,58,993,297,739,"1,200",129,Excellent,"CZK 56,000",Personal,Brick building,,Gas boiler,Middle floor,Overall,,Standard materials and solutions,,,,,,
288662,"CZK 19,500",50.1014102,14.3708384,"Vostrovská, Prague - Dejvice",2 bedroom,50 m²,"CZK 4,000",Unfurnished,1,No,No,No,No,No,No,No,01. 04. 2021,294,928,442,564,441,347,743,854,776,314,Good,"CZK 45,000",Personal,Brick building,,Gas boiler,Middle floor,Interior,G,Standard materials and solutions,,,,,,
706890,"CZK 11,890",50.05203722222,14.33069055555,"Symfonická, Prague - Stodůlky",Studio,52 m²,"CZK 2,149",Partially furnished,1,Yes,No,No,No,No,Yes,No,,263,979,527,944,628,499,912,521,435,407,Excellent,"CZK 14,039",Personal,Other,,,,,C,,,,"CZK 14,039

                                
                                
                
i",,,
