Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Heating,Total number of floors,Renovation,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
290281,"CZK 12,000",50.0441173,14.5165636,"Bratislavská, Prague - Hostivař",Studio,Excellent,40 m²,"CZK 4,000","CZK 12,000",Personal,Brick building,Furnished,6,Yes,No,No,No,No,No,No,,,225,129,196,185,999,293,"1,198",97,,,,1 to 10 years years,Standard materials and solutions,,Top floor,,,,,,,
706743,"CZK 10,500",50.0858459,14.4515982,"Milíčova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,27 m²,"CZK 1,500","CZK 12,000",Personal,Brick building,Furnished,1,No,No,Yes,No,No,No,No,01. 03. 2022,G,92,220,94,192,38,241,243,459,255,534,,,,,,,,,,,,
706776,"CZK 12,800",50.1265557,14.4956688,"Varnsdorfská, Prague - Střížkov",3 bedroom,Good,53 m²,"CZK 3,000","CZK 25,600",Personal,Prefab concrete building,Unfurnished,5,Yes,No,Yes,No,No,Yes,No,15. 02. 2022,G,265,575,193,480,264,240,239,334,"1,024",216,,,,District heating,,,,,,,,
707577,"CZK 12,500",50.0647,14.45068,"Novgorodská, Prague - Vršovice",1 bedroom,Excellent,50 m²,"CZK 2,500","CZK 15,000",Personal,Brick building,Partially furnished,2,No,No,No,No,No,Yes,No,17. 02. 2022,C,209,578,211,701,194,420,362,550,366,544,,,,,,,,,,,,
498334,"CZK 11,000",50.026953342758,14.427036993918,"Vavřenova, Prague - Braník",1 bedroom with open-plan kitchen,Excellent,53 m²,"CZK 5,500","CZK 30,000",Personal,Prefab concrete building,Partially furnished,7,Yes,No,No,No,No,No,No,01. 03. 2022,,240,727,390,713,248,309,378,320,"1,305",115,,,Standard materials and solutions,,Middle floor,Overall,,,,,,
706736,"CZK 17,500",50.10131,14.37756,"Komornická, Prague - Dejvice",2 bedroom,Excellent,58 m²,"CZK 3,000","CZK 17,500",Cooperative,Brick building,Partially furnished,1,Yes,No,Yes,No,No,No,No,01. 03. 2022,G,366,"1,413",453,993,566,605,489,623,522,553,,,,,,,,,,,,
706724,"CZK 21,000",50.07053,14.43061,"Legerova, Prague - Nové Město",2 bedroom with open-plan kitchen,Excellent,81 m²,"CZK 4,000","CZK 42,000",Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,15. 02. 2022,G,176,576,245,443,13,301,74,506,546,458,,,,,,,,,,,,
707114,"CZK 16,000",50.0535716,14.4891598,"Záběhlická, Prague - Záběhlice",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 3,500","CZK 32,000",Personal,Other,Furnished,1,Yes,No,No,Yes,Yes,No,No,01. 03. 2022,G,210,"1,189",229,"1,131",440,760,632,947,450,399,Yes,,,,Middle floor,Interior,,,,,,
706708,"CZK 9,000",50.10845,14.48572,"Kovanecká, Prague - Libeň",Studio,New build,33 m²,"CZK 2,200","CZK 9,000",Personal,Brick building,Unfurnished,2,No,No,No,No,No,Yes,No,21. 02. 2022,G,355,506,285,565,222,724,416,389,226,435,,,,,,,,,,,,
704890,"CZK 18,000",50.07866,14.42339,"Navrátilova, Prague - Nové Město",1 bedroom,Excellent,45 m²,"CZK 2,500","CZK 30,000",Personal,Brick building,Furnished,2,No,No,No,No,No,Yes,No,04. 03. 2022,A,156,626,139,165,6,325,219,540,570,477,,1 to 10 years years,Premium materials and solutions,Electric boiler,,Overall,,,,,,
700232,"CZK 12,000",50.07302,14.48617,"Nad Olšinami, Prague - Vinohrady",2 bedroom,Excellent,56 m²,"CZK 7,000","CZK 5,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 03. 2022,D,169,812,310,398,205,165,417,580,579,220,,,,,,,,,,,,
707535,"CZK 17,000",50.07434,14.44659,"Moravská, Prague - Vinohrady",1 bedroom,Excellent,44 m²,"CZK 3,500","CZK 34,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,Yes,No,01. 05. 2022,G,287,270,216,549,181,520,449,271,449,298,,,,,,,,,,,,
530752,"CZK 17,000",50.0340383,14.4796019,"Hrudičkova, Prague - Chodov",2 bedroom with open-plan kitchen,,65 m²,"CZK 3,500","CZK 30,000",Personal,Prefab concrete building,Partially furnished,3,Yes,No,No,No,No,No,No,ihned,,305,981,131,"1,095",245,849,225,"1,177",274,289,,,,,,,,,,,,
707520,"CZK 9,000",50.11446,14.50776,"Pod Krocínkou, Prague - Vysočany",1 bedroom,Good,41 m²,"CZK 3,000","CZK 12,000",Personal,Brick building,Furnished,,No,No,No,No,No,No,No,01. 04. 2022,G,404,977,852,694,538,904,997,534,618,215,,,,,,,,,,,,
688565,"CZK 21,000",50.0862173,14.5035851,"Prorektorská, Prague - Malešice",2 bedroom with open-plan kitchen,Excellent,65 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Furnished,1,No,Yes,Yes,No,Yes,Yes,No,01. 12. 2021,G,239,690,719,790,437,895,654,461,726,404,,,,,,,,,,,,
540297,"CZK 19,499",50.04304,14.31343,"Toufarova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,60 m²,"CZK 2,500","CZK 40,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,01. 03. 2022,B,258,485,231,799,821,429,778,559,"1,031",582,,1 to 10 years years,Premium materials and solutions,Central heating,Middle floor,,,,,,,
557712,"CZK 20,000",50.0866032,14.4586194,"Jeseniova, Prague - Žižkov",3 bedroom,Excellent,80 m²,"CZK 4,500","CZK 20,000",Personal,Prefab concrete building,Partially furnished,7,No,No,No,Yes,No,Yes,No,19. 02. 2022,B,202,280,74,596,319,251,230,276,352,45,,10 to 30 years years,Standard materials and solutions,District heating,Top floor,,,,,,,
707506,"CZK 11,000",50.10708,14.38956,"Zelená, Prague - Dejvice",1 bedroom,Excellent,40 m²,"CZK 6,500","CZK 17,500",Personal,Brick building,Furnished,1,No,No,Yes,No,No,Yes,No,21. 02. 2022,G,58,"1,396",17,803,233,219,446,347,719,447,,,,,,,,,,,,
627423,"CZK 16,000",50.047188,14.302844,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,51 m²,"CZK 3,000","CZK 16,000",Cooperative,Prefab concrete building,Partially furnished,1,Yes,No,No,No,No,Yes,No,01. 02. 2022,B,284,194,43,231,"1,059","1,028",654,815,110,,Yes,1 to 10 years years,Premium materials and solutions,District heating,Raised ground floor,,,,,,,
543101,"CZK 16,000",50.130119640622,14.49470390318,"Zakšínská, Prague - Střížkov",1 bedroom with open-plan kitchen,,52 m²,"CZK 3,000","CZK 20,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,Yes,No,No,01. 03. 2022,B,392,"1,016",268,990,627,527,516,441,"1,208",60,Yes,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,,,,,,
561593,"CZK 22,000",50.0953699,14.4507411,"U Mlýnského kanálu, Prague - Karlín",1 bedroom with open-plan kitchen,New build,56 m²,"CZK 3,400","CZK 28,000",Personal,Other,Furnished,4,Yes,No,No,No,No,Yes,No,10. 10. 2021,B,163,468,144,109,88,281,782,"1,417",437,515,Yes,,Premium materials and solutions,Central heating,Middle floor,Overall,,,,,,
706647,"CZK 23,000",50.07867,14.45332,"Lucemburská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,68 m²,"CZK 4,000","CZK 27,000",Personal,Brick building,Furnished,6,No,Yes,No,No,No,Yes,No,16. 02. 2022,G,326,207,95,221,51,418,293,461,880,154,,,,,,,,,,,,
626006,"CZK 18,000",50.051678,14.346835,"Petržílkova, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,55 m²,CZK 500,"CZK 18,000",Personal,Prefab concrete building,Furnished,5,No,No,No,No,No,Yes,No,01. 04. 2022,G,77,528,199,185,134,113,178,326,"1,199",203,,1 to 10 years years,Standard materials and solutions,District heating,Middle floor,,,,,,,
706465,"CZK 18,000",50.14234,14.52168,"Hlučkova, Prague - Letňany",1 bedroom with open-plan kitchen,New build,56 m²,"CZK 3,400","CZK 36,000",Personal,Brick building,Unfurnished,4,Yes,No,No,No,Yes,Yes,Yes,15. 02. 2022,B,580,935,"1,264",212,"1,059","1,335","1,182",922,180,,Yes,,,,,,,,,,,
706614,"CZK 15,000",50.12911,14.41502,"Řešovská, Prague - Bohnice",3 bedroom,Excellent,71 m²,"CZK 5,000","CZK 30,000",Personal,Prefab concrete building,Partially furnished,7,No,No,Yes,Yes,No,Yes,No,01. 03. 2022,G,270,416,365,345,324,412,407,575,128,,,,,,,,,,,,,
616465,"CZK 12,000",50.042619,14.425352,"V Křovinách, Prague - Braník",2 bedroom,Excellent,50 m²,"CZK 2,000","CZK 3,000",Personal,Brick building,Furnished,3,No,No,No,No,No,No,No,01. 03. 2022,D,273,"1,329",332,"1,302",557,"1,394",703,793,791,485,,1 to 10 years years,Standard materials and solutions,Central heating,Middle floor,Overall,30 m²,,,,,
577966,"CZK 12,500",50.05775,14.5083871,"Jahodová, Prague - Záběhlice",2 bedroom,Good,56 m²,"CZK 4,500","CZK 20,000",Personal,Prefab concrete building,Furnished,6,Yes,No,No,No,No,Yes,No,01. 05. 2022,C,209,598,195,457,262,"1,003",193,281,"1,200",66,,,Standard materials and solutions,District heating,Top floor,,,,,,,
647662,"CZK 20,500",50.07161,14.459453,"Slovinská, Prague - Vršovice",2 bedroom,Excellent,80 m²,"CZK 1,900","CZK 22,400",Personal,Brick building,Partially furnished,4,No,No,No,Yes,No,Yes,No,01. 05. 2022,G,152,673,41,444,82,448,262,311,748,278,,,,Gas boiler,,,,,,,,
707476,"CZK 15,000",50.1332951,14.5105659,"Chlebovická, Prague - Letňany",Studio,New build,40 m²,"CZK 4,000","CZK 20,000",Personal,Brick building,Partially furnished,1,No,Yes,Yes,No,No,Yes,Yes,01. 03. 2022,G,121,789,427,372,440,444,305,407,273,33,,,,,,,,,,,,
436955,"CZK 11,990",50.046602,14.3054967,Prague - Stodůlky,Studio,New build,39 m²,"CZK 2,600",,Personal,Other,Partially furnished,2,Yes,No,No,No,No,No,No,01. 03. 2022,B,2,144,96,"1,351",67,786,882,488,649,158,Yes,1 to 10 years years,Standard materials and solutions,District heating,,,,,,,,
496262,"CZK 11,000",50.0597042,14.4988132,"Narcisová, Prague - Záběhlice",Studio,,24 m²,"CZK 2,500","CZK 22,000",Personal,Prefab concrete building,Furnished,10,No,No,No,No,No,No,No,,,437,524,424,599,634,470,572,621,624,289,,,,,,,,,,,,
707189,"CZK 29,500",50.071968,14.4579548,"Mexická, Prague - Vršovice",3 bedroom,Excellent,87 m²,"CZK 2,500","CZK 58,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,G,146,618,67,394,47,392,206,336,692,370,,1 to 10 years years,Premium materials and solutions,Electric boiler,Middle floor,Overall,20 m²,,,,,
578219,"CZK 15,500",50.0844941,14.3418042,"Zeyerova alej, Prague - Břevnov",1 bedroom,New build,67 m²,"CZK 3,500","CZK 38,000",Personal,Brick building,Partially furnished,3,No,Yes,No,No,No,No,No,15. 02. 2022,G,339,849,437,654,333,667,188,292,677,427,Yes,1 to 10 years years,Premium materials and solutions,,,,,,,,,
707464,"CZK 14,500",50.1096142,14.4864486,"Podvinný mlýn, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 2,500","CZK 20,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,Yes,No,19. 02. 2022,G,487,638,386,697,47,722,326,478,315,490,,,,,,,,,,,,
307047,"CZK 18,000",50.042152,14.3220897,"Bellušova, Prague - Stodůlky",3 bedroom,Excellent,86 m²,"CZK 4,500","CZK 18,000",Personal,Prefab concrete building,Partially furnished,12,Yes,No,Yes,No,No,Yes,No,06. 03. 2022,,417,893,442,413,631,476,284,514,506,21,,,Standard materials and solutions,Central heating,Top floor,Interior,,,,,,
699845,"CZK 18,990",50.08036,14.45009,"Fibichova, Prague - Žižkov",2 bedroom,Excellent,85 m²,CZK 600,"CZK 20,000",Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,21. 02. 2022,G,410,370,240,424,83,339,343,383,698,317,,,,,,,,,,,,
