Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Designe,Condition,Ownership,EPC,Heating,New-build,Reconstruction,Terrace,Cellar,Balcony,Parking,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee,Plot space,Plot type
"CZK 22,000",CZK 0,432247,1 bedroom,9/1/2022,45 m²,Fully furnished,2,,197.76,857.82,342.23,943.3,410.97,290.24,475.46,954.62,856.38,529.02,"U Druhé baterie, Prague - Břevnov",50.0895188,14.366109,"CZK 22,000",Brick,,,,Personal,,Gas boiler,,,,,,,,,,,,
"CZK 18,990","CZK 6,589",729548,4+1,9/17/2022,84 m²,Unfurnished,8,1.0,273.87,940.98,374.29,874.09,464.62,193.19,470.74,576.14,1527.54,192.25,"Generála Janouška, Prague - Černý Most",50.10628638888,14.57028777777,"CZK 25,579",Prefab concrete,,,Very good,Personal,G,,,,,,,,,,,"CZK 25,579",,
"CZK 21,000","CZK 4,500",131474,2+kk,9/1/2022,64 m²,Fully furnished,6,1.0,161.62,207.64,86.06,137.14,73.03,80.74,397.84,733.04,245.51,397.15,"Sochařská, Prague - Bubeneč",50.1008477,14.4247118,"CZK 42,000",Brick,10 to 30 years,Luxurious,Very good,Personal,,,,Complete,,1.0,1.0,,,,,,,
"CZK 22,500","CZK 4,000",728770,3+kk,11/1/2022,61 m²,Fully furnished,4,1.0,414.0,826.24,265.09,764.61,549.7,474.75,212.05,211.22,373.3,256.14,Prague - Prosek,50.122,14.48876,"CZK 50,000",Prefab concrete,,,Very good,,D,,,,,,,,,,1.0,,,
"CZK 16,900","CZK 3,500",583541,2+kk,11/1/2022,60 m²,Fully furnished,2,,237.23,597.82,1049.92,3136.93,107.47,3099.76,994.39,648.68,1348.4,364.51,"Kupkova, Prague - Kolovraty",50.014838,14.634532,"CZK 20,000",Brick,Up to 10 years,Standard,New-build,Personal,A,Gas boiler,,Complete,,1.0,1.0,1.0,1.0,,1.0,,,
"CZK 29,500","CZK 6,000",667774,3+kk,9/15/2022,80 m²,Fully furnished,4,1.0,124.75,399.53,162.94,138.76,112.43,199.74,345.58,283.25,668.96,47.04,Prague - Košíře,50.069471,14.3711023,"CZK 60,000",Brick,,,Very good,Personal,G,,,Complete,,1.0,,,,,,,,
"CZK 18,000","CZK 5,000",728153,Studio,8/1/2022,23 m²,Fully furnished,,,107.77,1186.64,810.63,1121.47,,993.06,1441.45,978.22,1317.44,446.23,Prague - Troja,50.12075,14.41037,"CZK 46,000",Brick,Up to 10 years,Standard,Very good,,G,,,,,,,1.0,,,,,,
"CZK 26,000","CZK 4,000",726412,3+kk,9/1/2022,55 m²,Partly,1,,110.56,129.83,135.71,231.47,30.61,425.17,229.3,557.24,377.32,204.43,"Újezd, Prague - Malá Strana",50.08327825,14.4041547,"CZK 26,000",Brick,,,Very good,Personal,G,,,,,1.0,1.0,,,,,,,
"CZK 11,000","CZK 1,000",360488,1 bedroom,8/15/2022,25 m²,Partly,-1,,125.71,1245.54,386.18,917.87,162.24,594.83,224.47,416.46,968.46,288.78,"Žernovská, Prague - Strašnice",50.0664375,14.5023922,CZK 0,Brick,Over 50 years,Standard,,Personal,,Gas boiler,,Interior,,,,,,,,,,
"CZK 16,000","CZK 3,500",593117,Studio,8/15/2022,36 m²,Partly,4,,340.92,534.31,283.89,648.21,533.9,564.77,625.44,510.29,487.63,500.53,"Nad Buďánkami ​Ⅰ, Prague - Smíchov",50.071856,14.371181,"CZK 16,000",Brick,,Standard,Very good,Personal,G,Central,,,1.0,,1.0,,,,,,,
"CZK 19,000",CZK 580,623115,2 bedroom,10/1/2022,55 m²,,3,,120.4,778.1,120.38,48.38,67.8,267.02,598.26,627.49,572.95,170.07,"Koněvova, Prague - Žižkov",50.089674,14.465655,"CZK 19,580",Brick,,,Very good,Personal,E,,,,,,,,,,,,,
"CZK 28,500","CZK 6,600",691271,3+kk,9/30/2022,75 m²,Fully furnished,3,1.0,203.17,1204.35,397.85,1051.32,518.69,1097.6,996.62,686.7,724.63,557.62,"U Staré cihelny, Prague - Žižkov",50.08634,14.48319,"CZK 40,000",Brick,Up to 10 years,,New-build,Personal,B,Central,1.0,,,1.0,1.0,1.0,1.0,,,,,
"CZK 14,990","CZK 2,836",728768,2+kk,9/16/2022,43 m²,Fully furnished,4,1.0,107.44,156.77,60.01,805.86,110.11,100.1,468.11,174.74,750.31,129.86,"Podjavorinské, Prague - Chodov",50.03165166666,14.51930527777,"CZK 17,826",Prefab concrete,,,Very good,Personal,C,,,,,1.0,1.0,,,,,"CZK 17,826",,
"CZK 17,990","CZK 6,177",728762,2 bedroom,9/17/2022,67 m²,Fully furnished,2,,245.13,370.18,234.69,424.52,164.09,388.29,84.2,130.02,822.88,147.43,"Lvovská, Prague - Vršovice",50.06947277777,14.47482444444,"CZK 24,167",Brick,,,Very good,Personal,D,,,,,1.0,,,,,,"CZK 24,167",,
