Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,New building,Design,Heating,Total number of floors,Renovation,Administration fee,Age,Developer name,Project name,Kód jednotky,Front garden,Investment Advisor
718470,"CZK 13,500",50.0465,14.44259,"U Nových domů Ⅲ, Prague - Krč",1 bedroom with open-plan kitchen,45 m²,"CZK 4,000",Partially furnished,,No,No,Yes,Yes,No,Yes,No,01. 06. 2022,282,417,110,392,137,349,174,582,578,323,Excellent,"CZK 18,000",Personal,Brick building,C,,,,,,,,,,,,
366694,"CZK 8,000",50.0434577,14.455405,"Počátecká, Prague - Michle",Small studio,20 m²,"CZK 2,000",Unfurnished,1,No,Yes,No,No,No,No,No,01. 06. 2022,170,783,558,473,172,232,276,608,694,152,,"CZK 10,000",Personal,Brick building,B,,Standard materials and solutions,Central heating,Middle floor,Exterior,,,,,,,
718473,"CZK 19,125",50.0753237,14.4575982,"Korunní, Prague - Vinohrady",Studio,29 m²,"CZK 6,375",Furnished,1,No,No,No,No,No,Yes,No,19. 06. 2022,159,612,67,290,33,373,307,359,795,244,,,,,,,,,,,,,,,,,
718468,"CZK 18,500",50.06941,14.43306,"U Zvonařky, Prague - Vinohrady",1 bedroom with open-plan kitchen,45 m²,"CZK 4,500",Furnished,1,No,No,No,No,No,No,No,01. 08. 2022,5,504,82,513,147,567,412,435,420,507,Excellent,"CZK 25,000",Personal,Brick building,D,,,,,,,,,,,,
718450,"CZK 10,000",50.06956,14.4562,"Holandská, Prague - Vršovice",Small studio,19 m²,CZK 650,Partially furnished,3,No,No,No,No,No,No,No,16. 05. 2022,130,326,37,102,55,100,183,201,400,214,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
718466,"CZK 17,000",50.1307421,14.4956911,"Zakšínská, Prague - Střížkov",1 bedroom with open-plan kitchen,56 m²,"CZK 4,000",Furnished,5,No,No,No,Yes,No,Yes,No,01. 07. 2022,531,"1,050",259,"1,026",767,666,550,581,"1,348",125,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
436864,"CZK 25,500",50.0708474,14.4421603,"Šmilovského, Prague - Vinohrady",2 bedroom with open-plan kitchen,110 m²,"CZK 1,000",Furnished,1,No,No,No,No,No,Yes,No,01. 07. 2022,387,596,166,834,124,800,440,109,584,265,,"CZK 25,500",Personal,Brick building,D,,,,,,,,,,,,
126632,"CZK 18,000",50.0543548,14.3533083,"Za Zámečkem, Prague - Jinonice",1 bedroom with open-plan kitchen,62 m²,"CZK 5,000",Furnished,3,Yes,No,Yes,No,No,Yes,Yes,27. 06. 2022,445,855,63,754,391,547,248,742,"1,261",539,New build,"CZK 29,999",Personal,Brick building,,,Standard materials and solutions,Central heating,Middle floor,,,10 to 30 years years,,,,,
673770,"CZK 14,900",50.1281,14.423,"Lešenská, Prague - Troja",3 bedroom,74 m²,"CZK 5,600",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 08. 2021,428,502,258,572,328,444,584,865,950,205,Excellent,"CZK 20,500",Personal,Prefab concrete building,G,,,,,,,,,,,,
665290,"CZK 11,000",50.08468,14.45434,"Havlíčkovo náměstí, Prague - Žižkov",1 bedroom,32 m²,CZK 930,Partially furnished,3,No,No,No,No,No,No,No,26. 05. 2021,128,359,17,326,38,166,59,190,433,218,Excellent,"CZK 20,000",Personal,Brick building,B,,,,,,,,,,,,
