Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Front garden,Renovation,Age,Administration fee,New building,Developer name,Project name,Kód jednotky
699192,"CZK 12,000",50.04595,14.44492,"Obětí 6. května, Prague - Krč",1 bedroom,Excellent,32 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Partially furnished,3,No,No,Yes,No,No,Yes,No,01. 04. 2022,A,331,532,191,315,246,272,366,559,826,191,,,,,,,,,,,
700168,"CZK 19,000",50.05798,14.43477,"Hradeckých, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,55 m²,"CZK 2,500","CZK 38,000",Personal,Brick building,Partially furnished,5,Yes,No,No,No,No,Yes,No,01. 02. 2022,C,151,"1,274",199,253,100,330,813,433,105,453,,,,,,,,,,,
627423,"CZK 16,000",50.047188,14.302844,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,51 m²,"CZK 3,000","CZK 16,000",Cooperative,Prefab concrete building,Partially furnished,1,Yes,No,No,No,No,Yes,No,01. 02. 2022,B,284,194,43,231,"1,059","1,028",654,815,110,,Premium materials and solutions,District heating,Raised ground floor,,,1 to 10 years years,,Yes,,,
513871,"CZK 12,500",50.0610854,14.4016031,"Na Neklance, Prague - Smíchov",Studio,,35 m²,"CZK 2,500","CZK 15,000",Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,,,117,794,160,"1,092",104,283,746,845,829,707,,,,,,,,,,,
10555,"CZK 16,000",50.0755955022,14.3611907959,Prague - Smíchov,1 bedroom with open-plan kitchen,,57 m²,"CZK 3,400","CZK 20,000",Other,Other,Furnished,3,Yes,No,No,No,No,Yes,No,01. 02. 2020,C,483,"1,129",848,"1,091",721,377,91,,,,,District heating,Middle floor,,,1 to 10 years years,,,,,
587366,"CZK 13,500",50.055705,14.444092,"Sdružení, Prague - Nusle",1 bedroom,Excellent,39 m²,CZK 500,"CZK 13,500",Personal,Brick building,Unfurnished,1,No,No,No,No,No,No,No,01. 01. 2022,G,370,"1,037",262,809,423,967,272,188,852,353,,,,,,,,,,,
700125,"CZK 18,000",50.06585,14.44911,"Vršovická, Prague - Vršovice",2 bedroom with open-plan kitchen,Excellent,76 m²,"CZK 3,950","CZK 19,000",Cooperative,Brick building,Unfurnished,3,No,No,Yes,Yes,No,No,No,23. 01. 2022,G,168,433,85,144,73,270,178,387,286,363,,,,,,,,,,,
700136,"CZK 10,000",50.05184525,14.38408376734,Prague - Radlice,Small studio,Excellent,23 m²,"CZK 1,500","CZK 20,000",Personal,Brick building,Furnished,3,No,No,No,No,No,Yes,No,01. 03. 2022,D,"1,164","1,215","1,132","1,327","1,135","1,293",,,,,,,,,,,,,,,
699413,"CZK 34,000",50.07847,14.42443,"Školská, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,80 m²,"CZK 4,627","CZK 60,000",Personal,Brick building,Furnished,5,Yes,Yes,No,No,No,Yes,No,01. 04. 2022,G,265,776,62,201,0,278,221,459,442,396,Premium materials and solutions,Central heating,Top floor,,Overall,,,,,,
699409,"CZK 14,000",50.04736,14.43043,"Kaplická, Prague - Podolí",Studio,Good,40 m²,"CZK 2,500","CZK 16,500",Cooperative,Prefab concrete building,Unfurnished,7,Yes,No,Yes,Yes,Yes,Yes,No,14. 01. 2022,D,386,"1,099",182,806,339,879,225,329,749,322,,,,,,,,,,,
