Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,Renovation,New building,Front garden,Developer name,Project name,Kód jednotky
620731,"CZK 14,000",50.107712,14.393587,"Koulova, Prague - Dejvice",Studio,Excellent,33 m²,"CZK 2,000","CZK 14,000",,Personal,Brick building,Furnished,,No,No,No,No,No,Yes,No,G,174,"1,284",221,679,260,127,518,343,541,387,10. 08. 2020,,,Central heating,Ground floor,Bathroom unit,,,,,
714315,"CZK 10,500",50.08104,14.49664,"Počernická, Prague - Malešice",Small studio,Excellent,25 m²,"CZK 1,500","CZK 12,000",,Personal,Prefab concrete building,Furnished,11,No,No,No,No,No,No,No,G,110,386,194,339,263,412,286,522,906,148,01. 05. 2022,,,,,,,,,,
599878,"CZK 19,300",50.0996,14.400202,"V. P. Čkalova, Prague - Bubeneč",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 1,500","CZK 30,000",,Personal,Brick building,Furnished,3,No,No,Yes,No,No,Yes,No,G,162,387,28,74,14,283,215,591,329,187,01. 06. 2022,,Standard materials and solutions,Gas boiler,Middle floor,Interior,,,,,
440844,"CZK 12,000",50.0824141,14.4467213,"Bořivojova, Prague - Žižkov",Studio,,31 m²,"CZK 4,500","CZK 17,000",,Personal,Brick building,Furnished,4,No,No,No,No,No,No,No,,447,398,145,425,61,159,194,301,558,369,01. 06. 2022,,,,,,,,,,
714314,"CZK 29,000",50.07562,14.36124,"Na Císařce, Prague - Smíchov",2 bedroom with open-plan kitchen,New build,90 m²,"CZK 4,000","CZK 58,000",,Personal,Brick building,Partially furnished,,Yes,No,No,No,Yes,Yes,Yes,C,479,"1,125",844,"1,087",717,373,87,,,,15. 04. 2022,,,Central heating,Middle floor,,,,,,
575597,"CZK 17,500",50.063177,14.4253423,"Krokova, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 3,500","CZK 19,000",,Personal,Brick building,Furnished,3,No,No,Yes,No,No,Yes,No,G,354,700,336,370,358,497,364,241,366,274,01. 05. 2022,,Standard materials and solutions,Other,Middle floor,,,,,,
714313,"CZK 39,000",50.09127,14.44921,"Kollárova, Prague - Karlín",1 bedroom with open-plan kitchen,New build,54 m²,"CZK 5,000","CZK 10,000",,Personal,Brick building,Partially furnished,2,No,Yes,Yes,No,Yes,No,No,C,272,210,23,387,96,411,132,"1,232",486,170,17. 04. 2022,,,,,,,,,,
540196,"CZK 16,000",50.0680875,14.4199999,"Svobodova, Prague - Vyšehrad",Small studio,Excellent,45 m²,"CZK 3,000","CZK 19,000",,Personal,Brick building,Furnished,5,No,No,No,No,No,No,No,B,38,956,86,291,62,258,114,499,143,354,01. 05. 2022,1 to 10 years years,Premium materials and solutions,Electric boiler,Attic,Overall,,,,,
462973,"CZK 21,000",50.12788964285,14.459168762427,"Bořanovická, Prague - Kobylisy",1 bedroom with open-plan kitchen,,62 m²,"CZK 3,000","CZK 21,000",,Personal,Brick building,Furnished,3,Yes,No,No,No,No,No,No,B,196,998,36,766,86,285,604,317,674,380,01. 06. 2022,1 to 10 years years,Standard materials and solutions,,,,,,,,
714307,"CZK 18,000",50.10058,14.39145,"Evropská, Prague - Dejvice",2 bedroom with open-plan kitchen,Good,72 m²,"CZK 2,500","CZK 18,000",,Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,D,79,532,108,145,170,433,795,331,506,262,19. 04. 2022,,,,,,,,,,
496502,"CZK 8,000",50.09427,14.493866,"U Kněžské louky, Prague - Žižkov",Other,,23 m²,,"CZK 4,000",,Personal,Brick building,Furnished,4,No,No,No,No,No,No,No,,228,326,213,619,176,349,207,488,420,162,,,,,,Overall,,,,,
369322,"CZK 12,000",50.1101579,14.5084088,"Pod Strojírnami, Prague - Vysočany",Studio,Excellent,30 m²,"CZK 1,800","CZK 12,000",,Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,,56,661,180,477,156,597,380,438,553,559,,1 to 10 years years,Standard materials and solutions,,,,,,,,
714299,"CZK 15,500",50.1059511,14.4731393,Prague - Libeň,1 bedroom with open-plan kitchen,Good,62 m²,"CZK 6,500","CZK 22,000",,Personal,Brick building,,,No,No,No,No,No,Yes,No,,44,595,43,80,28,96,206,509,351,252,Ihned,,,,,,,,,,
714304,"CZK 29,520",50.0861053,14.4085409,"Na Kampě, Prague - Malá Strana",1 bedroom with open-plan kitchen,,39 m²,"CZK 9,840",,,,,Furnished,3,No,No,No,No,No,No,No,,417,407,197,386,62,673,443,555,732,174,19. 04. 2022,,,,,,,,,,
497050,"CZK 18,000",50.074626,14.446002,"Chodská, Prague - Vinohrady",2 bedroom,Excellent,77 m²,CZK 550,"CZK 18,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,D,213,239,142,549,107,455,418,171,480,267,18. 04. 2022,,,Gas boiler,Middle floor,Overall,,,,,
713679,"CZK 24,000",50.04415,14.45549,"Sedlčanská, Prague - Michle",2 bedroom,Excellent,60 m²,"CZK 1,600","CZK 48,000",,Personal,Brick building,Furnished,3,Yes,No,No,No,No,Yes,No,F,265,711,439,470,107,327,289,536,622,222,19. 04. 2022,over 50 years years,Standard materials and solutions,Central heating,Middle floor,Interior,,,,,
