Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Total number of floors,Design,Front garden,Heating,Renovation,New building,Developer name,Project name,Kód jednotky
707806,"CZK 53,000",50.06149,14.36633,"Na Pomezí, Prague - Košíře",4 bedroom,New build,159 m²,"CZK 16,000","CZK 69,000",,Personal,Low-energy building,Unfurnished,,No,Yes,No,No,Yes,Yes,Yes,B,198,901,894,"1,454","1,077",988,476,505,"1,076",337,01. 03. 2022,1 to 10 years years,Ground floor,Premium materials and solutions,221 m²,District heating,,Yes,,,
591600,"CZK 13,000",50.035578,14.410744,"Nad Malým Mýtem, Prague - Braník",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 1,600","CZK 25,000",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,E,183,357,225,246,209,387,265,"1,108",138,,01. 02. 2020,1 to 10 years years,Middle floor,Premium materials and solutions,,Other,Interior,,,,
262439,"CZK 14,800",50.0730669,14.394531,"Grafická, Prague - Smíchov",2 bedroom,,62 m²,CZK 700,"CZK 15,500",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,,169,876,61,567,41,658,17,"1,014",925,315,19. 03. 2022,,Middle floor,,,,,,,,
575002,"CZK 12,000",50.0570457,14.4400154,"Soudní, Prague - Nusle",Small studio,Excellent,35 m²,CZK 500,"CZK 24,000",,Personal,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,D,133,"1,323",350,629,244,656,543,480,530,262,10. 03. 2022,,,Standard materials and solutions,,Gas boiler,Interior,,,,
240794,"CZK 15,000",50.1363086059,14.3804926233,"Suchdolské náměstí, Prague - Suchdol",Studio,Excellent,45 m²,"CZK 3,000","CZK 30,000",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,No,Yes,Yes,,129,59,413,154,169,20,560,497,952,785,07. 03. 2022,,,Standard materials and solutions,,,,,,,
688938,"CZK 25,000",50.1098988,14.4980466,Prague - Vysočany,Studio,New build,38 m²,"CZK 5,000","CZK 30,000",,Personal,Low-energy building,,,No,Yes,No,No,No,No,No,A,83,266,76,157,42,169,510,686,283,351,Ihned,,,,,,,,,,
552580,"CZK 16,000",50.057315,14.4416437,Prague - Nusle,1 bedroom with open-plan kitchen,Excellent,59 m²,"CZK 3,500","CZK 20,000",,Cooperative,Brick building,Furnished,,No,No,Yes,No,No,No,No,,79,"1,174",296,774,274,692,470,445,676,189,01. 04. 2022,,Raised ground floor,Standard materials and solutions,,Gas boiler,Overall,,,,
705510,"CZK 8,106",50.05397,14.3422,"Běhounkova, Prague - Stodůlky",1 bedroom with open-plan kitchen,Good,45 m²,"CZK 7,894","CZK 27,000",,Personal,Prefab concrete building,Partially furnished,4,No,No,Yes,No,No,Yes,No,B,243,534,240,539,442,204,423,163,"1,153",129,15. 04. 2022,,,,,District heating,,,,,
507218,"CZK 35,000",50.0763203,14.3728569,"Libínská, Prague - Smíchov",2 bedroom with open-plan kitchen,,120 m²,"CZK 8,000","CZK 18,000",,Personal,Prefab concrete building,Partially furnished,3,Yes,No,No,No,Yes,No,No,,238,"1,082",705,"1,275",549,"1,065","1,121","1,002",531,470,,,Top floor,,,,,,,,
658789,"CZK 13,950",50.10608,14.4905,"Drahobejlova, Prague - Libeň",Small studio,Excellent,30 m²,CZK 950,"CZK 22,000",,Personal,Brick building,Partially furnished,5,No,No,No,No,No,Yes,No,C,184,143,6,326,135,425,130,356,84,98,01. 05. 2022,,Middle floor,,,Gas boiler,,,,,
687893,"CZK 18,000",50.05786,14.28258,"Sazovická, Prague - Zličín",1 bedroom with open-plan kitchen,,67 m²,"CZK 3,900","CZK 20,000",,Personal,Other,,6,Yes,No,Yes,No,No,No,Yes,G,255,920,795,725,809,849,198,"1,071",158,,04. 04. 2022,,,,,,,,,,
709893,"CZK 15,000",50.05363,14.43595,"Kotorská, Prague - Nusle",1 bedroom,Excellent,46 m²,"CZK 4,000","CZK 30,000",,Personal,Prefab concrete building,Furnished,8,Yes,No,Yes,No,No,Yes,No,G,251,837,87,390,146,303,395,262,429,278,11. 04. 2022,,,,,,,,,,
710376,"CZK 14,000",50.1030611,14.4357051,"U Smaltovny, Prague - Holešovice",1 bedroom with open-plan kitchen,Excellent,46 m²,"CZK 3,000","CZK 14,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,G,354,886,122,398,89,238,420,388,888,,01. 04. 2022,,,,,,,,,,
285346,"CZK 15,500",50.0127154,14.623104,Prague - Kolovraty,1 bedroom with open-plan kitchen,,60 m²,"CZK 2,500",,,Personal,Brick building,Furnished,2,No,No,No,No,No,No,No,,78,498,293,157,95,181,502,409,176,,01. 04. 2022,,,,,Central heating,Interior,,,,
698777,"CZK 32,000",50.10128,14.42327,"Ovenecká, Prague - Bubeneč",4 bedroom,Excellent,126 m²,"CZK 7,000",,,Personal,Brick building,Partially furnished,1,No,No,Yes,No,Yes,No,No,G,171,212,116,136,19,176,492,383,293,,08. 03. 2022,,,,,,,,,,
522222,"CZK 15,000",50.0230258,14.4554361,Prague - Krč,2 bedroom with open-plan kitchen,Excellent,60 m²,"CZK 3,500","CZK 20,000",,Personal,Prefab concrete building,Furnished,1,No,No,No,No,No,No,No,,425,779,668,351,314,585,"1,221",720,601,,19. 03. 2022,,Raised ground floor,Standard materials and solutions,,Central heating,Overall,,,,
603152,"CZK 19,900",50.096952,14.4652,"Molákova, Prague - Karlín",2 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 4,200","CZK 20,000",,Personal,Other,Furnished,2,No,Yes,No,No,No,Yes,No,B,108,"1,177",92,"1,032",226,771,442,685,901,149,01. 01. 1970,,,Premium materials and solutions,,District heating,Overall,,,,
543869,"CZK 30,000",50.0919232,14.4220003,"U Milosrdných, Prague - Staré Město",1 bedroom with open-plan kitchen,,71 m²,"CZK 4,000","CZK 34,000",,Personal,Brick building,Furnished,5,No,No,No,No,No,Yes,No,C,241,450,162,290,107,135,333,430,340,300,ihned,,Top floor,Premium materials and solutions,,Gas boiler,Overall,,,,
369123,"CZK 9,576",50.0533601,14.5251682,"Švehlova, Prague - Hostivař",Studio,Excellent,36 m²,"CZK 4,424","CZK 14,000",,Personal,Brick building,Furnished,2,Yes,No,No,No,No,Yes,No,D,60,612,207,575,395,616,940,506,354,171,21. 03. 2022,10 to 30 years years,Middle floor,,,District heating,,Yes,,,
710345,"CZK 22,000",50.08636,14.46054,"Jeseniova, Prague - Žižkov",1 bedroom with open-plan kitchen,New build,58 m²,CZK 10,"CZK 22,000",,Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,B,98,419,1,617,312,391,324,360,492,213,14. 03. 2022,,,,,,,,,,
664272,"CZK 6,000",50.0176154,14.3496341,Prague - Slivenec,Other,Excellent,11 m²,"CZK 1,000","CZK 2,000",,Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,A,354,824,"1,063","1,128",856,"1,316",228,,,,09. 08. 2021,10 to 30 years years,,Standard materials and solutions,,Other,,,,,
427251,"CZK 45,000",50.090822,14.4293197,"Soukenická, Prague - Nové Město",4 bedroom,Excellent,161 m²,"CZK 5,000","CZK 45,000",,Personal,Brick building,Partially furnished,2,No,Yes,No,No,No,Yes,No,,128,308,161,136,56,214,32,276,372,422,09. 03. 2022,,Middle floor,Premium materials and solutions,16 m²,Central heating,Overall,,,,
709146,"CZK 26,000",50.03217,14.39395,"Lumiérů, Prague - Hlubočepy",1 bedroom with open-plan kitchen,Excellent,68 m²,"CZK 2,000","CZK 78,000",,Cooperative,Brick building,Partially furnished,2,Yes,No,No,No,No,No,No,G,154,840,"1,433",272,"1,491",97,,,,,01. 04. 2022,,,,,,,,,,
709032,"CZK 20,000",50.04829,14.30282,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 4,500","CZK 20,000",,Personal,Brick building,Partially furnished,5,No,Yes,No,No,Yes,No,Yes,B,378,322,169,334,"1,107","1,075",702,863,43,,01. 06. 2022,,,,,,,,,,
546070,"CZK 12,000",50.138952817143,14.513084457672,"Stará náves, Prague - Letňany",Studio,New build,34 m²,"CZK 4,500","CZK 16,500",,Personal,Brick building,Furnished,1,No,No,No,No,Yes,No,No,A,390,393,567,846,295,344,454,723,703,146,09. 03. 2022,1 to 10 years years,Middle floor,Premium materials and solutions,,District heating,Overall,Yes,,,
403170,"CZK 20,000",50.137653655662,14.520674939178,"Nepomuckých, Prague - Letňany",3 bedroom,New build,80 m²,"CZK 5,000","CZK 50,000",,Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,Yes,B,262,395,"1,050",962,537,499,788,"1,312","1,050",240,01. 05. 2022,1 to 10 years years,,,,,,Yes,,,
710240,"CZK 14,000",50.06382,14.27051,"Blatnická, Prague - Sobín",Studio,Good,57 m²,"CZK 2,500","CZK 14,000",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,G,32,"1,249",14,"1,056",,,,,,,20. 03. 2022,,,,,,,,,,
286098,"CZK 13,500",50.057543,14.5025042,"U Zahradního města, Prague - Záběhlice",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 2,700","CZK 28,000",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,,148,66,447,517,390,472,451,421,668,112,,10 to 30 years years,Middle floor,Standard materials and solutions,,Central heating,,,,,
709722,"CZK 15,500",50.0203,14.45305,"Štúrova, Prague - Krč",1 bedroom with open-plan kitchen,Excellent,50 m²,"CZK 5,500","CZK 35,000",,Personal,Prefab concrete building,Furnished,13,No,No,No,Yes,Yes,Yes,No,G,248,361,245,432,290,974,"1,069",895,656,,01. 04. 2022,,,,,,,,,,
625757,"CZK 29,000",50.072344,14.439922,"Jana Masaryka, Prague - Vinohrady",1 bedroom,Excellent,49 m²,"CZK 1,900","CZK 29,000",,Personal,Brick building,,2,No,No,No,No,No,Yes,No,B,151,370,148,629,46,497,204,285,670,428,23. 04. 2022,,,,,,,,,,
709648,"CZK 13,500",50.10794,14.51753,"Svatošových, Prague - Vysočany",Studio,New build,37 m²,"CZK 3,200","CZK 20,000",,Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,No,B,452,563,"1,404",572,972,"1,255","1,221",294,133,,01. 05. 2022,,,,,,,,,,
709629,"CZK 17,500",50.10778,14.47439,"Andrštova, Prague - Libeň",2 bedroom,Excellent,72 m²,"CZK 4,500","CZK 35,000",,Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,G,311,762,258,352,250,361,291,585,379,318,01. 04. 2022,,,,,,,,,,
595689,"CZK 35,000",50.097265,14.398851,"Václavkova, Prague - Dejvice",2 bedroom with open-plan kitchen,Excellent,103 m²,"CZK 3,000","CZK 35,000",,Personal,Brick building,Partially furnished,3,No,No,No,No,No,Yes,No,G,128,334,130,181,125,343,247,698,465,172,01. 05. 2022,,Middle floor,Premium materials and solutions,,Gas boiler,Overall,,,,
709572,"CZK 15,900",50.06814,14.55724,"Honzíkova, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,New build,53 m²,"CZK 3,600","CZK 15,000",,Cooperative,Brick building,Furnished,3,Yes,No,No,No,No,Yes,Yes,B,834,671,590,850,"1,352","1,492",650,,,,14. 03. 2022,,,,,,,,,,
704254,"CZK 9,900",50.05755,14.42509,"Na Dolinách, Prague - Podolí",Studio,Excellent,26 m²,"CZK 1,900","CZK 15,000",,Cooperative,Brick building,Partially furnished,1,No,No,No,No,No,No,No,G,129,515,88,393,186,493,411,525,390,281,21. 03. 2022,,,,,,,,,,
709553,"CZK 29,000",50.07869,14.42557,"Štěpánská, Prague - Nové Město",4 bedroom with open-plan kitchen,Excellent,182 m²,CZK 500,"CZK 29,000",,Personal,Brick building,Partially furnished,4,No,Yes,No,No,No,Yes,No,G,366,767,307,317,1,330,23,447,454,379,07. 03. 2022,,,,,,,,,,
156480,"CZK 10,000",50.0299577,14.6067967,"Karla Zicha, Prague - Uhříněves",Studio,,32 m²,"CZK 3,000","CZK 15,000",,Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,No,No,,123,650,323,659,100,603,230,660,263,441,01. 04. 2022,10 to 30 years years,Middle floor,Standard materials and solutions,,,,,,,
568883,"CZK 14,000",50.1043295,14.5094343,"Pod Harfou, Prague - Vysočany",Studio,,30 m²,"CZK 3,000","CZK 17,500",,Personal,Brick building,Furnished,9,Yes,No,No,No,No,Yes,No,,408,106,"1,204",681,"1,010","1,291","1,014",153,,,25. 04. 2022,1 to 10 years years,,,,Central heating,,Yes,,,
706082,"CZK 18,900",50.08041,14.45483,"Žižkovo náměstí, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,45 m²,"CZK 2,000","CZK 38,000",,Personal,Brick building,Partially furnished,1,No,No,Yes,No,Yes,Yes,No,A,367,340,71,443,29,561,401,395,712,217,01. 04. 2022,1 to 10 years years,,,,Central heating,Overall,,,,
