Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,PENB,Design,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
705235,"CZK 14,000",50.0558,14.43316,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,52 m²,"CZK 3,500",Furnished,3,No,No,No,Yes,No,Yes,No,01. 04. 2022,104,"1,181",8,234,259,298,590,317,198,115,Excellent,"CZK 14,000",Personal,Brick building,,,,G,,,,,,,,
434472,"CZK 22,000",50.0678622,14.4585208,Prague - Vršovice,4 bedroom,136 m²,"CZK 1,000",Partially furnished,5,Yes,Yes,No,No,No,No,No,01. 03. 2022,37,421,125,155,39,253,344,418,512,260,Good,"CZK 40,000",Personal,Brick building,,Gas boiler,,,,,,,,,,
561593,"CZK 22,000",50.0953699,14.4507411,"U Mlýnského kanálu, Prague - Karlín",1 bedroom with open-plan kitchen,56 m²,"CZK 3,400",Furnished,4,Yes,No,No,No,No,Yes,No,10. 10. 2021,163,468,144,109,88,281,782,"1,417",437,515,New build,"CZK 28,000",Personal,Other,,Central heating,Middle floor,B,Premium materials and solutions,Overall,Yes,,,,,
614674,"CZK 9,950",50.037252,14.594891,"Křemenná, Prague - Uhříněves",Studio,42 m²,CZK 10,Partially furnished,3,No,No,No,No,Yes,No,No,10. 02. 2022,474,"1,259",611,"1,045",952,"1,032",545,575,"1,455",309,New build,"CZK 19,000",Personal,Brick building,1 to 10 years years,,,A,,,Yes,,,,,
704071,"CZK 33,000",50.08654,14.44077,"Příběnická, Prague - Žižkov",3 bedroom with open-plan kitchen,103 m²,"CZK 6,000",Partially furnished,4,No,No,No,No,No,No,No,15. 02. 2022,454,509,319,430,201,495,679,713,761,672,Excellent,"CZK 23,000",Personal,Brick building,,,,A,,,,,,,,
697593,"CZK 18,900",50.04428,14.51449,"Rižská, Prague - Hostivař",1 bedroom with open-plan kitchen,56 m²,"CZK 3,500",Furnished,2,Yes,No,Yes,No,Yes,Yes,Yes,15. 02. 2022,236,377,442,431,"1,160",511,"1,293",142,,,New build,"CZK 37,800",Personal,Brick building,1 to 10 years years,District heating,Middle floor,B,Standard materials and solutions,,,,,,,
699392,"CZK 23,764",50.0372335,14.5076748,"Donovalská, Prague - Chodov",3 bedroom,90 m²,"CZK 3,251",,1,No,No,No,No,No,No,No,10. 01. 2022,91,842,183,263,420,425,414,258,142,,Good,"CZK 27,015",Personal,Other,,,,,,,,,"CZK 3,565",,,
693515,"CZK 14,219",50.046684,14.4391279,"Na Strži, Prague - Krč",1 bedroom with open-plan kitchen,43 m²,"CZK 2,935",,1,No,No,No,No,No,No,No,16. 11. 2021,65,417,271,541,289,567,274,397,344,83,Good,"CZK 17,000",Personal,Other,,,,,,,,,,,,
691990,"CZK 16,600",50.05393,14.44023,"5. května, Prague - Nusle",1 bedroom with open-plan kitchen,47 m²,"CZK 3,823",,1,No,No,No,No,Yes,No,No,01. 12. 2021,40,177,122,399,130,154,109,657,647,271,Good,"CZK 21,000",,Other,,,,,,,,,,,,
694143,"CZK 14,118",50.0812798,14.4589888,"Křišťanova, Prague - Žižkov",1 bedroom with open-plan kitchen,48 m²,"CZK 1,998",,1,No,No,No,No,No,No,No,30. 11. 2021,150,606,253,208,189,649,384,209,457,460,Good,"CZK 16,116",Personal,Other,,,,,,,,,,,,
