Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Administration fee,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Available from,Age,Design,Heating,Total number of floors,New building,Renovation,Front garden,Developer name,Project name,Kód jednotky
595994,"CZK 28,000",50.066301,14.431111,"Sekaninova, Prague - Nusle",2 bedroom with open-plan kitchen,New build,74 m²,"CZK 1,000",,,Personal,Brick building,Furnished,5,Yes,Yes,No,No,No,No,Yes,C,237,627,167,761,64,289,394,448,223,185,28. 03. 2022,1 to 10 years years,Premium materials and solutions,Gas boiler,Top floor,Yes,Overall,,,,
467195,"CZK 12,500",50.055583,14.525417,Prague - Hostivař,Studio,Excellent,34 m²,"CZK 2,800","CZK 12,500",,Personal,Brick building,Furnished,3,Yes,No,Yes,No,Yes,Yes,No,B,424,891,326,854,540,895,"1,319",731,579,535,01. 05. 2022,,,,,,,,,,
703902,"CZK 15,990",50.11035555555,14.4866525,"Podvinný mlýn, Prague - Libeň",1 bedroom with open-plan kitchen,Excellent,59 m²,"CZK 3,014","CZK 18,706","CZK 18,706

                                
                                
                
i",Personal,Brick building,Furnished,4,Yes,No,Yes,No,Yes,Yes,No,C,584,735,483,794,51,850,423,575,412,560,,,,,,,,,,,
601714,"CZK 21,000",50.023325,14.496873,"Nechvílova, Prague - Chodov",1 bedroom with open-plan kitchen,Excellent,56 m²,"CZK 3,500","CZK 30,000",,Personal,Prefab concrete building,Furnished,2,No,No,No,No,No,Yes,No,G,356,661,104,762,456,852,442,579,433,173,01. 05. 2022,,Premium materials and solutions,,,,Bathroom unit,,,,
524714,"CZK 26,000",50.0817465,14.4271892,"Václavské náměstí, Prague - Nové Město",Studio,,80 m²,"CZK 4,000","CZK 30,000",,Other,Brick building,Furnished,2,No,No,No,No,No,Yes,No,,159,379,137,87,20,155,398,847,114,372,01. 04. 2022,,,,,,,,,,
711855,"CZK 11,000",50.07222,14.38777,"Holečkova, Prague - Košíře",Studio,Excellent,25 m²,"CZK 3,000","CZK 22,000",,Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,G,121,"1,138",108,973,168,"1,096",421,817,"1,255",307,01. 04. 2022,,,,,,,,,,
640337,"CZK 12,000",50.111401,14.490304,"Podvinný mlýn, Prague - Libeň",Studio,Excellent,45 m²,"CZK 3,700","CZK 15,700",,Personal,Brick building,Partially furnished,,No,Yes,No,No,No,No,No,A,508,952,654,703,359,585,731,666,353,279,01. 06. 2022,,Premium materials and solutions,,Ground floor,,Exterior,70 m²,,,
490850,"CZK 12,500",50.135346,14.5420411,"Toužimská, Prague - Kbely",1 bedroom with open-plan kitchen,,54 m²,"CZK 4,000","CZK 16,500",,Personal,Brick building,Partially furnished,3,Yes,No,No,No,No,No,No,C,107,625,744,645,878,517,517,535,716,,,,,Gas boiler,,,,,,,
710791,"CZK 14,900",50.10938,14.37939,"Na Zavadilce, Prague - Dejvice",1 bedroom,Excellent,54 m²,"CZK 1,100","CZK 16,000",,Personal,Brick building,Partially furnished,3,No,Yes,Yes,No,No,No,No,G,204,452,"1,443",518,876,531,472,763,482,,01. 01. 1970,,,,,,,,,,
711832,"CZK 18,900",50.06705015,14.39396804721,"U Nikolajky, Prague - Smíchov",2 bedroom,Excellent,62 m²,CZK 750,"CZK 26,650",,Personal,Brick building,Partially furnished,1,No,No,No,No,No,No,No,E,193,436,587,801,231,523,575,788,298,618,28. 03. 2022,,,,,,,,,,
202649,"CZK 12,290",50.1026222,14.436082,"U smaltovny, Prague - Holešovice",Studio,Excellent,30 m²,"CZK 2,200","CZK 15,000",,Personal,Brick building,Furnished,1,No,No,No,No,No,Yes,No,,286,848,109,360,31,305,466,444,944,,01. 06. 2022,1 to 10 years years,Standard materials and solutions,District heating,Raised ground floor,,Overall,,,,
355381,"CZK 13,000",50.0566973,14.4460626,"U družstva Ideál, Prague - Nusle",1 bedroom with open-plan kitchen,Good,48 m²,"CZK 1,300","CZK 15,000",,Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,No,No,,357,974,20,485,240,969,372,288,951,307,02. 04. 2022,,Standard materials and solutions,,Middle floor,,,,,,
685106,"CZK 17,500",50.06662,14.42307,"Horská, Prague - Nové Město",Studio,New build,33 m²,"CZK 5,000","CZK 22,500",,Personal,Brick building,Furnished,5,Yes,No,No,No,No,No,No,B,114,989,23,10,23,31,353,549,399,398,01. 07. 2022,,,,,,,,,,
685115,"CZK 23,000",50.06636,14.42333,"Horská, Prague - Nové Město",1 bedroom with open-plan kitchen,New build,50 m²,"CZK 7,000","CZK 30,000",,Personal,Brick building,Furnished,4,No,No,No,Yes,Yes,Yes,Yes,B,165,981,117,149,162,109,492,669,487,409,06. 06. 2022,,,,,,,,,,
711824,"CZK 14,000",50.10907,14.5569,"Za černým mostem, Prague - Kyje",Studio,New build,,"CZK 3,000","CZK 42,000",,Personal,Prefab concrete building,Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,G,176,800,136,48,754,418,"1,323","1,438",483,,28. 03. 2022,,,,,,,,,,
639881,"CZK 17,990",50.020821,14.40306,"Šífařská, Prague - Hodkovičky",1 bedroom with open-plan kitchen,New build,48 m²,"CZK 4,500","CZK 30,000",,Personal,Brick building,Partially furnished,4,No,Yes,Yes,No,Yes,Yes,Yes,B,419,659,"1,181",370,"1,106",,,,,,01. 01. 2022,1 to 10 years years,Premium materials and solutions,District heating,Top floor,Yes,,,,,
425448,"CZK 10,500",50.0582532,14.44353,"Na Jezerce, Prague - Nusle",Small studio,Excellent,18 m²,"CZK 2,000","CZK 12,500",,Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,,96,"1,112",343,721,186,792,491,465,675,180,02. 01. 2022,1 to 10 years years,Standard materials and solutions,,,,Overall,,,,
180770,"CZK 10,800",50.1011439,14.4909093,"Prokopka, Prague - Vysočany",1 bedroom,,37 m²,CZK 900,"CZK 12,000",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,,165,"1,206",215,849,308,"1,301",108,193,636,240,20. 01. 2022,,Standard materials and solutions,Other,,,,,,,
395681,"CZK 20,000",50.0769497,14.4491685,"U vodárny, Prague - Vinohrady",1 bedroom with open-plan kitchen,,55 m²,"CZK 5,000","CZK 30,000",,Personal,Brick building,Furnished,1,No,No,Yes,No,No,Yes,No,G,90,292,115,86,36,94,251,204,666,146,01. 04. 2022,,,,,,,,,,
711743,"CZK 9,000",50.12099,14.45387,"Kubišova, Prague - Libeň",1 bedroom with open-plan kitchen,Good,44 m²,"CZK 1,000","CZK 9,000",,Personal,Brick building,Partially furnished,2,No,No,No,No,No,No,No,G,272,618,256,255,290,339,474,693,"1,207",468,20. 04. 2022,,,,,,,,,,
683933,"CZK 12,000",50.1351227,14.379389,"Internacionální, Prague - Suchdol",3 bedroom,Good,75 m²,"CZK 5,500","CZK 17,500",,Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,G,97,120,232,148,162,101,709,316,771,605,01. 04. 2022,,,Gas boiler,Middle floor,,,,,,
598547,"CZK 19,900",50.091983,14.43848,"Pobřežní, Prague - Karlín",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 1,000","CZK 25,000",,Cooperative,Brick building,Furnished,3,Yes,No,Yes,No,No,No,No,,144,519,224,117,121,116,688,694,188,722,01. 05. 2022,1 to 10 years years,Standard materials and solutions,Electric boiler,Middle floor,,Interior,,,,
711070,"CZK 16,900",50.0573177,14.4207856,Prague - Podolí,1 bedroom with open-plan kitchen,Excellent,59 m²,"CZK 3,100","CZK 25,000",,Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,Yes,No,C,172,280,180,81,167,277,67,681,458,95,01. 04. 2022,,,,,,,,,,
689888,"CZK 11,050",49.9564,14.38078,"K Vejvoďáku, Prague - Zbraslav",4 bedroom with open-plan kitchen,New build,150 m²,"CZK 1,950","CZK 13,000",,Personal,Other,Partially furnished,1,Yes,Yes,Yes,Yes,Yes,No,Yes,G,120,"1,019","1,319","1,281",953,970,,,,,31. 03. 2022,,,,,,,,,,
705161,"CZK 9,900",50.05716,14.44544,"Sdružení, Prague - Nusle",Studio,Excellent,42 m²,"CZK 3,000","CZK 15,000",,Other,Brick building,Partially furnished,1,No,No,No,No,No,No,No,G,316,993,46,504,172,928,349,323,"1,018",266,05. 02. 2022,,Standard materials and solutions,Other,Raised ground floor,,,,,,
518635,"CZK 14,500",50.0663273,14.4296422,Prague - Nusle,1 bedroom with open-plan kitchen,Excellent,38 m²,"CZK 3,500","CZK 14,500",,Personal,Brick building,Furnished,4,No,No,No,No,No,Yes,No,,194,809,124,703,236,246,531,563,200,97,01. 05. 2022,,Standard materials and solutions,Gas boiler,,,,,,,
436587,"CZK 6,900",50.0835307,14.5007042,"Káranská, Prague - Malešice",Small studio,,17 m²,"CZK 1,800","CZK 8,700",,Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,,328,298,328,341,344,503,262,289,703,118,23. 03. 2022,,,,,,,,,,
630387,"CZK 13,000",50.071297,14.482002,"V Olšinách, Prague - Vršovice",Studio,Excellent,32 m²,"CZK 1,000","CZK 14,000",,Personal,Brick building,Furnished,3,No,Yes,No,No,No,No,No,B,263,407,163,275,228,332,531,427,630,192,01. 05. 2022,,,,,,,,,,
700407,"CZK 15,000",50.13335,14.50671,"Tupolevova, Prague - Letňany",Studio,New build,50 m²,"CZK 3,600","CZK 20,000",,Personal,Prefab concrete building,Partially furnished,2,No,No,No,Yes,No,Yes,No,B,135,"1,092",255,417,434,571,377,269,254,419,01. 02. 2022,,,,,,,,,,
711645,"CZK 19,490",49.99891944444,14.43090138888,"Provázkova, Prague - Modřany",1 bedroom with open-plan kitchen,New build,62 m²,"CZK 2,928","CZK 22,418","CZK 22,418

                                
                                
                
i",Personal,Brick building,Unfurnished,2,Yes,No,Yes,No,Yes,Yes,No,B,207,"1,062",699,682,785,,,,,,,,,,,Yes,,,,,
711643,"CZK 22,500",50.1010194,14.4039856,"Dr. Zikmunda Wintra, Prague - Bubeneč",2 bedroom,Excellent,77 m²,"CZK 1,500","CZK 45,000",,Personal,Brick building,Unfurnished,5,No,No,No,No,No,No,No,G,212,796,195,522,181,453,386,649,412,364,01. 04. 2022,,Standard materials and solutions,,,,,,,,
414900,"CZK 11,500",50.1356723,14.5098273,"Bohumínská, Prague - Letňany",Studio,,41 m²,"CZK 3,500",,,Personal,Prefab concrete building,Furnished,8,No,No,No,No,No,Yes,No,,61,658,228,506,193,137,214,624,267,365,01. 06. 2022,,,,,,,,,,
