Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Administrative fee,Floor space,Fully furnished,Condition,Ownership,EPC,Balcony,Parking,New-build,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Terrace,Designe,Reconstruction,Cellar,Domácí mazlíčci vítáni,Age,Heating,Enclosed balcony,Garage,Plot type
"CZK 18,000","CZK 3,500","CZK 36,000",732939,2+kk,9/6/2022,3,Brick,,51 m²,Fully furnished,New-build,,G,1.0,1.0,1.0,1.0,188.12,1451.5,169.85,1998.98,554.22,905.38,1616.69,2380.48,539.07,116.66,Prague - Hostavice,50.08657,14.5637,,,,,,Up to 10 years,Central,,1.0,
"CZK 19,000","CZK 2,500","CZK 20,000",353274,2+kk,10/1/2022,,Brick,,51 m²,Fully furnished,,Personal,,,,,1.0,229.57,413.56,160.34,439.47,144.39,408.56,128.14,314.12,562.3,106.15,"Lannova, Prague - Nové Město",50.0926859,14.4314516,,,,1.0,,,Central,,,
"CZK 21,900","CZK 1,000","CZK 21,900",440293,2+kk,9/12/2022,3,Brick,,54 m²,Fully furnished,Very good,Personal,G,,,,1.0,141.81,403.7,32.7,156.13,13.9,198.14,338.4,461.18,177.04,434.78,"Heřmanova, Prague - Holešovice",50.1003257,14.4274943,,,Complete,1.0,,Up to 10 years,Gas boiler,,,
"CZK 15,000","CZK 8,000","CZK 26,000",732838,Studio,10/1/2022,5,Brick,,30 m²,Fully furnished,Very good,,D,,1.0,,,25.96,374.17,20.45,2174.28,72.28,647.45,261.01,485.72,1325.26,370.94,Prague - Braník,50.03968,14.41073,,,,1.0,,,,,,
"CZK 20,000","CZK 5,000","CZK 20,000",421388,2+kk,9/12/2022,9,Other,,52 m²,Unfurnished,Very good,Personal,C,1.0,,1.0,1.0,152.87,281.78,143.05,1503.09,318.42,899.1,911.82,970.87,827.35,314.52,"V Štíhlách, Prague - Krč",50.0199473,14.4538245,,,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 20,000",732804,3+1,9/13/2022,1,Brick,,83 m²,Fully furnished,Very good,,F,1.0,,,1.0,320.56,588.33,33.85,169.88,20.78,276.75,327.62,370.72,369.36,250.68,Prague - Vršovice,50.06837,14.45061,,,,,,,,,,
"CZK 21,900","CZK 4,000","CZK 25,000",732829,3+1,9/6/2022,2,Prefab concrete,,78 m²,Partly,Very good,,G,1.0,1.0,,1.0,306.33,463.37,351.98,741.76,441.7,156.13,723.53,210.52,597.79,46.29,Prague - Stodůlky,50.04541,14.31331,,,,1.0,1.0,,,,,
"CZK 19,800","CZK 2,500","CZK 30,000",597750,2+kk,9/12/2022,2,Brick,,56 m²,,Very good,Personal,C,1.0,1.0,,1.0,349.33,623.35,107.22,439.57,293.31,350.6,374.18,434.11,387.31,297.53,"Musílkova, Prague - Košíře",50.067502,14.370077,,Standard,,,1.0,Up to 10 years,Gas boiler,,1.0,
"CZK 24,000","CZK 3,000","CZK 27,000",732833,2 bedroom,9/6/2022,1,Brick,,57 m²,Partly,Very good,,G,,,,1.0,95.66,526.1,96.83,456.1,170.98,496.91,370.21,499.14,518.01,175.58,Prague - Žižkov,50.08722,14.46211,,,Complete,,,,,,,
"CZK 9,278","CZK 6,522","CZK 31,600",681062,Studio,8/24/2021,18,Brick,,38 m²,Partly,Very good,Personal,A,1.0,1.0,,1.0,454.04,809.88,434.66,484.42,353.37,771.43,492.68,609.29,683.92,296.54,Prague - Vysočany,50.10533,14.50202,,Standard,,1.0,,Up to 10 years,,,,
"CZK 11,000","CZK 4,000","CZK 15,000",613420,Studio,10/1/2022,3,Prefab concrete,,31 m²,,Very good,Personal,B,,,,1.0,265.39,510.79,358.01,1348.79,523.71,610.43,33.71,489.51,816.07,237.2,"Bachova, Prague - Chodov",50.030742,14.512007,,,Complete,,,,,,,
"CZK 15,000","CZK 3,500","CZK 30,000",662820,Studio,10/1/2022,1,Brick,,43 m²,Partly,New-build,Personal,G,1.0,,,1.0,426.71,1033.48,242.4,1012.54,635.67,576.3,533.04,449.67,1259.73,70.72,"Zakšínská, Prague - Střížkov",50.13041,14.49516,,,,1.0,,,,,1.0,
"CZK 17,900","CZK 3,400","CZK 40,000",206206,2+kk,9/18/2022,3,Brick,,54 m²,Partly,Very good,Personal,B,,1.0,1.0,1.0,432.16,1067.28,404.0,754.92,477.78,482.09,482.22,661.17,363.49,311.58,"Pivovarnická, Prague - Libeň",50.10973,14.47768,,Luxurious,,,,Up to 10 years,,,,
"CZK 12,000",CZK 1,CZK 1,731985,3+kk,9/1/2022,1,Brick,,75 m²,Fully furnished,New-build,,G,,1.0,,,126.44,203.0,344.94,989.33,124.9,427.98,97.74,222.46,443.02,282.2,Prague - Chodov,50.03433,14.50368,,Luxurious,,,,,,,,
