Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Balcony,Parking,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Designe,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Garage,New-build,Administrative fee
"CZK 23,000","CZK 5,000","CZK 46,000",339212,4+1,10/1/2022,2,Prefab concrete,Central,92 m²,Partly,Good,Personal,B,Bathroom unit,,,,,352.69,404.39,354.15,410.03,329.48,347.43,293.66,163.56,1156.18,117.17,"Dominova, Prague - Stodůlky",50.0528727,14.3421907,10 to 30 years,Standard,1.0,,,,,
"CZK 13,500","CZK 3,000","CZK 16,500",704809,Studio,7/1/2022,6,Brick,Central,17 m²,Fully furnished,New-build,Personal,G,Complete,,,,1.0,258.87,1176.88,518.78,460.6,457.79,197.31,707.5,932.29,451.17,572.73,"Lisabonská, Prague - Libeň",50.10365925,14.496393654922,,,,,,,,
"CZK 12,900","CZK 1,100","CZK 14,000",681356,Studio,9/12/2022,3,Brick,,20 m²,Partly,New-build,Personal,G,,,,,1.0,187.64,722.0,114.27,106.66,7.49,148.42,243.33,399.08,36.36,385.04,"Národní, Prague - Staré Město",50.0826,14.41828,,,,,,,,
"CZK 13,000","CZK 4,000","CZK 17,000",201798,Studio,9/12/2022,3,Brick,Electric boiler,43 m²,Fully furnished,,Personal,B,,1.0,,,1.0,386.11,337.87,327.6,420.89,126.16,333.83,1007.3,712.74,535.42,295.41,"Mattioliho, Prague - Záběhlice",50.0527787,14.5150765,,,,,,1.0,,
"CZK 16,000","CZK 4,000","CZK 16,000",736205,2+kk,9/11/2022,1,Other,Central,54 m²,Partly,Very good,,G,,,1.0,1.0,,314.96,1209.04,423.19,1397.99,718.55,442.37,1599.3,753.81,1128.25,222.87,Prague - Michle,50.0578,14.46654,Up to 10 years,Standard,,,,,,
"CZK 16,000","CZK 1,050","CZK 15,000",733053,2+kk,10/1/2022,7,Prefab concrete,,43 m²,Fully furnished,Very good,,G,,,1.0,,1.0,115.75,445.36,125.25,916.87,412.84,385.9,301.09,326.0,303.92,127.4,Prague - Chodov,50.03311,14.51756,,,,,,,,
"CZK 17,000","CZK 2,050","CZK 17,000",369503,2+kk,1/1/2019,9,Prefab concrete,,43 m²,Fully furnished,,Personal,,,,,,,386.07,655.36,342.07,622.82,431.09,581.61,124.6,415.55,352.71,222.12,Prague - Chodov,50.0237246,14.4934818,,Standard,,,,,,
"CZK 19,900","CZK 3,900","CZK 40,000",726744,Small studio,8/1/2022,,Brick,,42 m²,Fully furnished,Very good,,C,Complete,,1.0,,,209.89,2580.19,364.32,2252.43,430.13,183.08,1288.15,1638.37,999.77,373.58,Prague - Motol,50.07106,14.34318,30 - 50 years,Luxurious,,,,,,
"CZK 10,000",CZK 0,"CZK 40,000",726746,2 bedroom,9/10/2022,1,Brick,,76 m²,Fully furnished,Very good,Personal,C,Complete,,,1.0,,209.89,2580.19,364.32,2252.43,430.13,183.08,1288.15,1638.37,999.77,373.58,Prague - Motol,50.07106,14.34318,30 - 50 years,Luxurious,,,,,,
"CZK 14,500","CZK 3,500","CZK 29,000",732663,Studio,10/1/2022,1,Brick,,45 m²,Fully furnished,Very good,,G,,1.0,,1.0,1.0,168.65,1167.95,645.66,1514.59,267.9,1039.25,795.58,994.9,661.58,343.57,Prague - Chodov,50.0406,14.49894,,,,,,,,
