Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Floor space,Fully furnished,Condition,Ownership,EPC,New-build,Enclosed balcony,Lift,Cellar,Parking,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Reconstruction,Designe,Terrace,Domácí mazlíčci vítáni,Garage,Administrative fee,Balcony,Plot type
"CZK 18,000","CZK 4,000","CZK 37,000",730591,2+kk,8/20/2022,11,Prefab concrete,,42 m²,Partly,Very good,Personal,A,,,1.0,1.0,,225.25,509.23,210.61,197.57,313.05,374.5,333.7,365.29,434.6,205.29,Prague - Háje,50.0292,14.53153,Central,Complete,,,,,,,
"CZK 14,000","CZK 3,500","CZK 28,000",735179,Studio,9/7/2022,3,Prefab concrete,,27 m²,Fully furnished,Very good,,G,,,1.0,1.0,,335.07,589.94,203.34,490.57,272.38,255.37,249.48,103.14,1050.25,44.47,Prague - Střížkov,50.12665,14.49526,,,,,,,,1.0,
"CZK 16,500","CZK 3,300","CZK 19,800",735176,Studio,10/1/2022,1,Brick,,30 m²,Fully furnished,Very good,,G,,,,,,195.12,867.74,62.52,586.39,83.23,257.18,288.89,320.22,267.74,209.92,Prague - Libeň,50.10745,14.49183,,,,,,,,,
"CZK 13,000","CZK 4,000","CZK 13,000",735075,2+kk,9/7/2022,1,Brick,,41 m²,Partly,Good,,G,,,,,,370.75,1265.27,341.98,843.86,320.29,1025.67,1000.01,218.25,1013.68,332.92,Prague - Dejvice,50.09786,14.37792,,,,,,,,,
"CZK 20,625","CZK 6,875",,728424,2 bedroom,10/2/2022,10,,,45 m²,Fully furnished,,,,,,1.0,,,256.77,316.9,138.95,255.27,129.78,146.97,532.26,445.84,886.9,24.33,"Jablonecká, Prague - Střížkov",50.1245336,14.4947443,,,,,,,,,
"CZK 15,000","CZK 5,700","CZK 15,000",735077,2+kk,9/7/2022,2,Brick,,45 m²,Fully furnished,Very good,,G,,,,,,170.17,1331.31,235.88,524.55,177.99,210.9,532.56,369.39,754.76,240.87,Prague - Kobylisy,50.12578,14.44526,,,,,,,,,
"CZK 35,000",CZK 490,"CZK 35,000",584599,3+1,10/1/2022,3,Brick,,115 m²,Fully furnished,Very good,Personal,G,,,,,,235.09,750.04,190.44,609.02,147.66,390.52,438.65,258.58,274.37,269.57,"Krkonošská, Prague - Vinohrady",50.07954,14.444944,Electric boiler,Complete,Luxurious,,,,,,
"CZK 11,000","CZK 5,000","CZK 22,000",735067,Studio,9/19/2022,2,Prefab concrete,,40 m²,Partly,New-build,,C,1.0,,1.0,,1.0,158.85,954.73,49.53,719.01,424.8,843.65,219.09,2084.8,1094.1,124.51,Prague - Zličín,50.05714,14.28274,,,,,,1.0,,1.0,
"CZK 19,500","CZK 3,000","CZK 30,000",527000,2+kk,9/30/2022,4,Brick,Up to 10 years,43 m²,Fully furnished,Very good,Personal,A,,,1.0,,,220.48,487.86,331.81,500.55,362.83,355.62,688.63,837.35,355.75,380.71,Prague - Holešovice,50.1054837,14.4433027,Gas boiler,Interior,,,,,,,
"CZK 11,499","CZK 1,000","CZK 18,000",732406,Small studio,9/5/2022,3,Brick,,40 m²,Partly,Very good,,G,,,,,,125.86,217.39,168.26,2409.84,102.11,269.28,349.76,144.45,1228.34,258.85,Prague - Braník,50.03521,14.41167,Electric boiler,,,,,,,,
