Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Design,Heating,Total number of floors,Renovation,PENB,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky
704076,"CZK 15,990",49.969501495361,14.38659954071,"Jaromíra Vejvody, Prague - Zbraslav",1 bedroom with open-plan kitchen,63 m²,"CZK 2,557",Furnished,4,Yes,No,No,No,No,Yes,No,,182,"1,009",246,"1,100",321,140,674,244,163,,Excellent,"CZK 18,547",Personal,Brick building,,,,,,C,,"CZK 18,547

                                
                                
                
i",,,,
155003,"CZK 14,900",50.0741843,14.3824809,Prague - Smíchov,2 bedroom,60 m²,"CZK 3,500",Furnished,3,No,No,No,No,No,No,No,10. 01. 2022,297,"1,028",584,"1,210",632,"1,268",607,212,"1,125",312,Good,"CZK 20,000",Personal,Brick building,,,,,,,,,,,,
698322,"CZK 17,500",50.07683,14.46802,"náměstí Jiřího z Lobkovic, Prague - Vinohrady",1 bedroom with open-plan kitchen,66 m²,"CZK 2,200",Partially furnished,3,No,No,Yes,Yes,No,Yes,No,07. 02. 2022,147,439,67,299,57,280,20,784,143,118,Excellent,"CZK 50,000",Personal,Brick building,10 to 30 years years,Standard materials and solutions,District heating,Middle floor,Overall,D,,,,,,
690649,"CZK 11,000",49.98979,14.4071,"Na Homoli, Prague - Komořany",1 bedroom with open-plan kitchen,42 m²,"CZK 2,500",Unfurnished,,No,No,Yes,No,No,No,No,01. 02. 2022,241,153,201,"1,159",337,,,,,,Excellent,"CZK 15,000",Personal,Brick building,,,,,,G,,,,,,
680769,"CZK 19,500",50.0793798,14.4577498,Prague - Žižkov,2 bedroom,74 m²,"CZK 6,500",Furnished,1,No,No,No,No,No,No,No,01. 03. 2022,242,533,113,313,14,383,436,396,724,151,Excellent,"CZK 39,000",Personal,Brick building,,,,,,G,,,,,,
704074,"CZK 12,500",50.13676,14.50579,Prague - Letňany,1 bedroom with open-plan kitchen,42 m²,"CZK 3,000",Partially furnished,8,No,No,No,No,Yes,Yes,No,01. 02. 2022,268,991,242,339,426,415,234,611,305,318,Excellent,"CZK 12,500",Personal,Other,,,,,,G,,,,,,
704072,"CZK 14,500",50.07063,14.37678,"Plzeňská, Prague - Smíchov",1 bedroom with open-plan kitchen,60 m²,"CZK 1,000",Furnished,1,No,No,No,No,No,Yes,No,01. 03. 2022,214,84,178,459,208,567,280,687,712,346,Excellent,"CZK 29,000",Personal,Brick building,,,,,,G,,,,,,
460187,"CZK 12,400",50.0093964,14.4287506,"Angelovova, Prague - Modřany",1 bedroom,31 m²,"CZK 3,530",Furnished,2,No,No,Yes,No,Yes,Yes,No,01. 03. 2022,381,"1,034",126,"1,010",153,"1,035",209,437,285,209,Excellent,"CZK 15,900",Cooperative,Prefab concrete building,,Premium materials and solutions,District heating,,,D,,,,,,
704069,"CZK 14,990",50.04805416666,14.30194138888,"Svitákova, Prague - Stodůlky",1 bedroom with open-plan kitchen,46 m²,"CZK 4,107",Furnished,1,No,No,No,No,Yes,Yes,No,,422,366,207,378,"1,151","1,119",746,907,87,,New build,"CZK 19,097",Personal,Brick building,,,,,,C,Yes,"CZK 19,097

                                
                                
                
i",,,,
700476,"CZK 17,000",50.08624,14.51552,"Ungarova, Prague - Malešice",1 bedroom with open-plan kitchen,57 m²,"CZK 4,000",Partially furnished,1,Yes,No,Yes,No,Yes,Yes,Yes,24. 01. 2022,261,"1,170",703,"1,322",273,726,599,"1,097",19,253,Excellent,"CZK 30,000",Personal,Low-energy building,1 to 10 years years,,District heating,Raised ground floor,,C,,,,,,
596906,"CZK 24,200",50.054838,14.399466,"U Dívčích Hradů, Prague - Smíchov",2 bedroom with open-plan kitchen,64 m²,"CZK 3,300",Partially furnished,1,Yes,Yes,Yes,No,Yes,Yes,Yes,01. 04. 2022,136,"1,107",533,"1,024",522,"1,094",614,608,557,,New build,"CZK 24,200",Personal,Other,1 to 10 years years,Premium materials and solutions,,,,B,Yes,,28 m²,,,
469902,"CZK 14,000",50.0721293,14.4572455,"Mexická, Prague - Vršovice",1 bedroom with open-plan kitchen,58 m²,CZK 700,Partially furnished,4,No,No,No,No,No,Yes,No,01. 04. 2022,155,665,114,442,1,440,254,383,676,377,Excellent,"CZK 25,000",Personal,Brick building,,,Gas boiler,,,,,,,,,
627828,"CZK 24,900",50.038775,14.395989,"Na Srpečku, Prague - Hlubočepy",3 bedroom,83 m²,"CZK 3,000",Partially furnished,1,No,Yes,Yes,No,Yes,No,No,01. 05. 2022,138,776,733,795,620,578,654,,,,Excellent,"CZK 24,900",Personal,Brick building,1 to 10 years years,Standard materials and solutions,Gas boiler,Raised ground floor,Overall,B,,,600 m²,,,
423520,"CZK 14,400",50.1296248,14.4611519,"Šiškova, Prague - Kobylisy",Studio,45 m²,"CZK 2,396",Furnished,10,No,No,No,No,No,Yes,No,06. 02. 2022,127,783,107,629,334,441,533,180,853,52,Excellent,"CZK 16,800",Cooperative,Prefab concrete building,,Premium materials and solutions,District heating,Middle floor,Interior,B,,,,,,
447159,"CZK 26,000",50.0608762,14.2791488,"Věstonická, Prague - Zličín",2 bedroom with open-plan kitchen,82 m²,,Furnished,3,Yes,Yes,Yes,No,No,Yes,Yes,01. 03. 2022,163,771,"1,271","1,201",995,"1,325",673,100,,,Excellent,"CZK 26,000",Personal,Brick building,,Standard materials and solutions,Central heating,Top floor,,C,,,,,,
690506,"CZK 54,188",50.0809579,14.4249745,"Vodičkova, Prague - Nové Město",1 bedroom,35 m²,"CZK 18,062",Furnished,4,No,No,No,No,No,No,No,29. 01. 2022,134,476,148,50,45,79,203,785,249,355,,,,,,,,,,,,,,,,
704063,"CZK 16,000",50.06615,14.36774,"K Zastávce, Prague - Košíře",3 bedroom,77 m²,"CZK 3,000",Partially furnished,2,No,No,No,No,No,Yes,No,28. 01. 2022,577,850,376,659,591,619,672,"1,091",477,479,Good,"CZK 32,000",Cooperative,Prefab concrete building,,,,,,G,,,,,,
