Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Heating,Total number of floors,PENB,Age,Design,Renovation,Front garden,Developer name,Project name,Kód jednotky,Administration fee
692777,"CZK 16,500",50.06689,14.55286,"Kardausova, Prague - Dolní Měcholupy",1 bedroom with open-plan kitchen,53 m²,"CZK 4,000",Furnished,3,Yes,No,No,No,No,Yes,No,01. 01. 2022,464,"1,158",378,297,557,"1,059","1,229",312,,,Excellent,"CZK 25,000",Personal,Low-energy building,,District heating,Middle floor,B,1 to 10 years years,Premium materials and solutions,Overall,,,,,
668065,"CZK 18,900",50.08217,14.45096,"Kubelíkova, Prague - Žižkov",1 bedroom with open-plan kitchen,66 m²,CZK 540,Unfurnished,4,Yes,No,Yes,No,No,Yes,No,01. 07. 2021,405,111,141,372,76,222,435,544,587,468,Excellent,,Personal,Brick building,,,,,,,,,,,,
605939,"CZK 13,490",50.056361,14.432318,"Dačického, Prague - Nusle",Studio,45 m²,"CZK 3,000",,3,Yes,No,No,No,No,No,No,01. 02. 2022,162,988,175,267,207,406,728,454,195,265,Good,"CZK 16,490",Cooperative,Brick building,,Central heating,,G,,,,,,,,
696367,"CZK 12,000",50.05503,14.51821,"Strašnická, Prague - Hostivař",1 bedroom with open-plan kitchen,40 m²,"CZK 3,970",Partially furnished,1,No,No,Yes,Yes,No,Yes,No,01. 02. 2022,223,333,344,296,317,337,933,"1,000",620,218,Good,"CZK 12,000",Personal,Prefab concrete building,,,,D,,,,,,,,
358266,"CZK 12,500",50.1087714,14.5579093,"Pelušková, Prague - Kyje",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Partially furnished,4,Yes,No,Yes,No,No,Yes,Yes,01. 02. 2022,75,881,53,95,835,499,"1,404",457,,,,"CZK 16,000",Personal,Brick building,,,,,,,,,,,,
697628,"CZK 25,200",50.0698543,14.4154824,"Podskalská, Prague - Nové Město",2 bedroom with open-plan kitchen,67 m²,"CZK 3,500",Partially furnished,4,No,No,Yes,No,No,Yes,No,01. 02. 2022,255,830,85,332,88,110,299,198,352,280,Excellent,"CZK 50,400",Personal,Brick building,,,,G,,,,,,,,
697626,"CZK 24,900",50.07371,14.44602,"Chodská, Prague - Vinohrady",2 bedroom with open-plan kitchen,96 m²,CZK 870,Unfurnished,3,Yes,No,No,No,No,No,No,01. 02. 2022,285,298,244,651,208,557,477,273,379,165,Excellent,"CZK 25,770",Personal,Brick building,,,,G,,,,,,,,
697625,"CZK 18,500",50.07806,14.4581,"Baranova, Prague - Žižkov",1 bedroom with open-plan kitchen,58 m²,CZK 779,Unfurnished,3,Yes,No,No,Yes,No,Yes,No,02. 01. 2022,93,424,70,166,76,234,545,653,799,286,Excellent,"CZK 18,500",Cooperative,Brick building,,Gas boiler,Middle floor,G,,,,,,,,
541241,"CZK 12,000",50.0704997,14.4102302,"Hořejší nábřeží, Prague - Smíchov",1 bedroom with open-plan kitchen,40 m²,"CZK 1,500",Unfurnished,,No,No,No,No,No,No,No,,364,802,37,278,102,396,831,965,737,224,,"CZK 12,000",Personal,Brick building,,,,,,,,,,,,
609881,"CZK 20,000",50.079184,14.415364,"Vojtěšská, Prague - Nové Město",3 bedroom,80 m²,"CZK 3,700",Furnished,5,No,No,No,No,No,Yes,No,28. 12. 2021,144,591,3,369,44,391,55,128,394,353,Excellent,"CZK 40,000",Personal,Brick building,,,Top floor,E,,,Interior,,,,,
689531,"CZK 11,500",50.088,14.48924,"Na Rovnosti, Prague - Žižkov",1 bedroom with open-plan kitchen,44 m²,"CZK 2,500",Unfurnished,2,No,No,Yes,No,No,Yes,No,01. 11. 2021,212,659,274,675,203,664,620,464,264,588,Excellent,"CZK 11,500",Cooperative,Prefab concrete building,,District heating,Middle floor,G,,,,,,,,
696965,"CZK 17,500",50.08965,14.49451,"Buková, Prague - Žižkov",2 bedroom,56 m²,"CZK 3,800",Furnished,4,Yes,No,Yes,No,Yes,No,No,01. 02. 2022,423,623,368,865,318,627,786,368,602,276,Excellent,"CZK 30,000",Personal,Brick building,,,,C,,,,,,,,
405191,"CZK 10,800",50.0551291,14.486511,"Záběhlická, Prague - Záběhlice",1 bedroom,28 m²,"CZK 2,200",Furnished,3,No,No,Yes,No,No,No,No,01. 01. 2022,171,"1,304",152,"1,274",325,777,735,"1,090",228,364,,"CZK 15,000",Personal,Brick building,,Other,Middle floor,F,1 to 10 years years,,Overall,,,,,
623924,"CZK 13,000",50.105205,14.540247,"Klánovická, Prague - Hloubětín",2 bedroom,54 m²,"CZK 3,000",Partially furnished,1,No,No,Yes,No,Yes,No,No,01. 03. 2022,210,209,219,227,416,282,529,451,329,203,Good,"CZK 16,000",Personal,Brick building,,Central heating,Raised ground floor,D,10 to 30 years years,Standard materials and solutions,Interior,20 m²,,,,
320553,"CZK 13,500",50.0344213,14.5327242,"Plickova, Prague - Háje",1 bedroom with open-plan kitchen,48 m²,"CZK 2,800",Partially furnished,8,No,No,No,Yes,No,No,No,,320,433,223,493,216,521,222,363,249,208,,"CZK 13,000",Cooperative,Prefab concrete building,,,,,,,,,,,,
