Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,New building,Age,Heating,Total number of floors,PENB,Design,Renovation,Front garden,Developer name,Project name,Kód jednotky,Administration fee,Investment Advisor
716016,"CZK 27,000",50.08622,14.44951,"Dalimilova, Prague - Žižkov",1 bedroom with open-plan kitchen,50 m²,"CZK 3,300",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 06. 2022,250,377,223,384,63,344,89,302,89,726,Excellent,"CZK 54,000",Personal,Brick building,,,,,F,,,,,,,,
719152,"CZK 15,000",50.10805,14.53471,"Sadská, Prague - Hloubětín",2 bedroom,50 m²,"CZK 2,500",Partially furnished,2,No,No,Yes,No,No,No,No,20. 05. 2022,389,534,325,515,382,351,485,116,589,175,Excellent,"CZK 45,000",Personal,Brick building,,,,,G,,,,,,,,
694996,"CZK 15,000",50.1017062589,14.452718765784,"Tusarova, Prague - Holešovice",Studio,30 m²,"CZK 3,000",Furnished,2,No,No,Yes,No,No,Yes,No,20. 05. 2022,181,538,88,261,18,197,399,362,105,253,New build,"CZK 18,000",Personal,Brick building,Yes,,,,B,,,,,,,,
719150,"CZK 35,000",50.11091,14.49956,"Bratří Dohalských, Prague - Vysočany",2 bedroom with open-plan kitchen,96 m²,"CZK 5,000",Furnished,6,Yes,Yes,No,Yes,Yes,Yes,Yes,19. 05. 2022,87,250,116,92,150,145,452,716,360,250,New build,"CZK 35,000",Personal,Brick building,,,,,B,,,,,,,,
376088,"CZK 16,500",50.0725559,14.4683321,Prague - Vršovice,2 bedroom,52 m²,"CZK 1,513",Partially furnished,3,Yes,No,Yes,No,No,No,No,01. 07. 2022,164,697,279,532,272,293,463,347,658,77,,"CZK 32,000",Personal,Brick building,,,,,,,Interior,,,,,,
719146,"CZK 21,000",50.108944,14.501028,"Freyova, Prague - Vysočany",Studio,25 m²,"CZK 7,000",Furnished,12,No,No,No,No,No,Yes,No,21. 05. 2022,190,256,204,195,172,262,433,416,436,299,,,,,,,,,,,,,,,,,
717687,"CZK 18,561",50.1045704,14.3964833,"Nikolaje Alexejeviče Někrasova, Prague - Bubeneč",1 bedroom with open-plan kitchen,55 m²,"CZK 6,187",Furnished,4,No,No,No,No,No,Yes,No,01. 07. 2022,127,738,134,167,33,143,316,211,416,52,,,,,,,,,,,,,,,,,
717698,"CZK 16,125",50.1138866,14.4798456,"U Pekařky, Prague - Libeň",Studio,30 m²,"CZK 5,375",Furnished,2,No,No,No,No,No,No,No,29. 06. 2022,185,178,"1,337",331,979,"1,134","1,351",938,317,,,,,,,,,,,,,,,,,,
717700,"CZK 41,438",50.077834,14.422878,"Příčná, Prague - Nové Město",Studio,26 m²,"CZK 13,812",Furnished,2,No,No,No,No,No,No,No,20. 06. 2022,224,529,123,232,36,222,310,471,467,408,,,,,,,,,,,,,,,,,
717694,"CZK 60,000",50.0757302,14.4269087,"Ječná, Prague - Nové Město",1 bedroom with open-plan kitchen,,"CZK 20,000",Furnished,3,No,No,No,No,No,No,No,19. 06. 2022,177,647,182,40,38,122,28,102,350,194,,,,,,,,,,,,,,,,,
717695,"CZK 29,390",50.0925135,14.4556107,"Šaldova, Prague - Karlín",1 bedroom,40 m²,"CZK 9,796",Furnished,2,No,Yes,No,No,No,Yes,No,09. 06. 2022,367,716,142,317,156,180,346,"1,276",231,204,,,,,,,,,,,,,,,,,
717685,"CZK 36,338",50.0183023,14.5625656,"Ibišková, Prague - Křeslice",4 bedroom with open-plan kitchen,180 m²,"CZK 12,112",Furnished,1,Yes,Yes,No,No,No,No,Yes,01. 07. 2022,695,843,921,,,,,,,,,,,,,,,,,,,,,,,,
717649,"CZK 32,918",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",Studio,35 m²,"CZK 10,972",Furnished,2,No,No,No,No,No,No,No,01. 07. 2022,249,259,109,237,65,537,295,274,806,231,,,,,,,,,,,,,,,,,
717637,"CZK 31,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 10,475",Furnished,2,No,No,No,No,No,Yes,No,01. 06. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,,
717632,"CZK 28,688",50.0730353,14.4083714,"Zborovská, Prague - Smíchov",Studio,40 m²,"CZK 9,562",Furnished,2,Yes,Yes,No,No,No,No,No,27. 06. 2022,94,401,89,199,59,403,430,911,"1,115",601,,,,,,,,,,,,,,,,,
717624,"CZK 43,350",50.0894289,14.423732,"Masná, Prague - Staré Město",Studio,46 m²,"CZK 14,450",Furnished,3,No,No,No,No,No,Yes,No,31. 05. 2022,68,269,126,89,16,107,70,52,156,144,,,,,,,,,,,,,,,,,
717630,"CZK 35,975",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",Studio,49 m²,"CZK 11,992",Furnished,2,Yes,Yes,No,No,No,Yes,Yes,21. 05. 2022,224,159,75,308,58,360,238,"1,343",368,105,,,,,,,,,,,,,,,,,
