Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Terrace,Balcony,New-build,Garage,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Cellar,Administrative fee
"CZK 30,000","CZK 6,000",641531,3+kk,2/1/2021,85 m²,Fully furnished,4,1.0,130.93,1007.1,37.48,465.02,115.5,445.04,247.78,438.88,274.05,99.72,"U Svobodárny, Prague - Libeň",50.105646,14.48901,"CZK 60,000",Prefab concrete,Up to 10 years,,New-build,Personal,A,Distance,Luxurious,,1.0,1.0,1.0,1.0,,,1.0,
"CZK 11,152","CZK 5,437",660740,Studio,9/1/2022,34 m²,Fully furnished,7,1.0,346.04,675.47,41.4,613.85,582.24,291.72,312.09,235.57,525.82,149.18,"Veltruská, Prague - Prosek",50.12094,14.4904,"CZK 18,000",Prefab concrete,30 - 50 years,Complete,Very good,Cooperative,C,Distance,Standard,,,,,1.0,1.0,,,
"CZK 13,990","CZK 2,000",690553,Small studio,8/31/2022,30 m²,Fully furnished,2,1.0,173.2,143.72,55.5,115.32,75.38,164.5,161.13,377.97,198.6,457.31,"Štítného, Prague - Žižkov",50.0851483,14.4512417,"CZK 25,000",Brick,Up to 10 years,Complete,Very good,Personal,B,Electric boiler,Standard,,,,,,,,,
"CZK 20,000","CZK 3,500",731205,Studio,10/1/2022,38 m²,Partly,8,1.0,406.29,744.63,290.7,539.71,319.88,734.62,509.68,1006.76,121.55,355.04,Prague - Strašnice,50.0802779,14.4893397,"CZK 47,000",Low-energy,,,New-build,Personal,B,Central,Luxurious,1.0,1.0,1.0,1.0,1.0,,,1.0,
"CZK 13,000","CZK 6,000",681499,Studio,10/1/2022,40 m²,Fully furnished,1,,153.1,467.97,106.55,224.73,285.57,487.53,190.0,338.31,720.17,416.19,"Jerevanská, Prague - Vršovice",50.0705441,14.4709632,"CZK 19,000",Brick,,,Very good,Personal,F,Distance,,,,,,,,,1.0,
"CZK 12,000","CZK 2,500",589202,1 bedroom,12/1/2020,33 m²,Fully furnished,1,1.0,157.47,762.22,118.45,398.18,134.53,331.3,560.26,232.14,154.43,271.77,"Biskupcova, Prague - Žižkov",50.091711,14.482038,"CZK 12,000",Brick,,Complete,Very good,Cooperative,G,Distance,,,,,,,,,,
"CZK 16,000","CZK 2,000",681228,2 bedroom,9/1/2022,66 m²,Partly,,,157.9,165.01,122.59,129.53,12.48,115.97,408.42,228.56,453.02,120.59,"Slezská, Prague - Vinohrady",50.0768057,14.4613696,"CZK 20,000",Brick,,Complete,Very good,Personal,G,Electric boiler,,,,,,,,,,
"CZK 18,000","CZK 3,500",337275,2+kk,10/31/2022,67 m²,Partly,3,1.0,35.96,485.23,26.24,261.89,27.42,260.23,74.83,206.37,549.07,277.91,"Žitomírská, Prague - Vršovice",50.0709555,14.4578324,"CZK 20,000",Brick,,,Very good,Personal,,Central,,,1.0,,,,,,,
"CZK 11,500","CZK 2,500",731747,Studio,8/30/2022,18 m²,Partly,2,,611.24,780.27,433.45,420.1,219.24,740.32,581.38,100.21,449.61,338.75,Prague - Vysočany,50.10672,14.50538,"CZK 14,000",Other,,,New-build,,B,,,,,1.0,,,,,,
"CZK 32,000","CZK 4,000",731196,Studio,10/10/2022,50 m²,Fully furnished,1,1.0,203.59,507.92,184.04,131.46,104.78,320.04,818.18,896.49,475.93,304.76,Prague - Karlín,50.09559,14.45041,"CZK 32,000",Low-energy,,,New-build,,G,,,1.0,,,1.0,1.0,,1.0,,
"CZK 20,000","CZK 3,500",731189,3+kk,8/25/2022,74 m²,Fully furnished,3,1.0,229.91,1113.04,519.35,817.69,31.77,459.1,564.26,341.15,1210.19,261.87,Prague - Smíchov,50.07301,14.39351,"CZK 30,000",Brick,,,Very good,,D,,,,,,,,,,,
"CZK 13,000",CZK 0,731744,1 bedroom,8/30/2022,25 m²,Partly,-2,1.0,526.23,1761.75,670.71,1678.77,518.16,1314.39,103.82,711.14,1340.53,1014.3,Prague - Smíchov,50.05165,14.40599,"CZK 13,000",Brick,,,Very good,,G,,,,,,,1.0,,1.0,,
"CZK 25,808","CZK 8,602",731741,Studio,9/5/2022,35 m²,Fully furnished,1,1.0,237.21,722.71,270.23,1114.48,162.06,485.4,549.42,612.82,571.2,287.12,"U Nikolajky, Prague - Smíchov",50.0656652,14.3917771,,,,,,,,,,1.0,1.0,,1.0,,,,,
"CZK 31,000","CZK 6,000",628613,3+1,9/1/2022,89 m²,Fully furnished,1,1.0,167.95,912.97,160.16,349.44,164.94,418.89,576.42,448.95,290.35,341.84,"Slavojova, Prague - Nusle",50.064215,14.424948,"CZK 31,000",Brick,30 - 50 years,Complete,Very good,Personal,G,Electric boiler,Standard,,,,,,,,,
"CZK 21,000","CZK 5,000",647821,4+kk,9/1/2022,74 m²,Partly,2,,224.24,379.42,248.66,1352.86,116.55,873.14,768.84,820.64,670.01,63.64,Prague - Krč,50.0211,14.4525,"CZK 25,000",Prefab concrete,,,Good,Personal,B,,,,,,,,1.0,,,
"CZK 13,500","CZK 3,000",673636,Studio,11/1/2022,25 m²,Fully furnished,4,,704.85,817.97,596.7,877.75,624.34,856.57,654.27,604.3,753.2,903.88,"Perucká, Prague - Vinohrady",50.06918,14.43767,"CZK 16,000",Brick,,,New-build,Personal,G,,,,,,,,,,,
