Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Cellar,Lift,Domácí mazlíčci vítáni,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Designe,Ownership,Reconstruction,Age,Terrace,Parking,New-build,Balcony,Garage,Administrative fee,Plot type
"CZK 24,000","CZK 1,100","CZK 36,000",572986,3+1,10/1/2022,1,,75 m²,Partly,Very good,Brick,,1.0,,,20.73,736.07,76.78,653.85,228.84,695.13,411.28,309.72,543.02,290.23,"Dvacátého osmého pluku, Prague - Vršovice",50.070779649373,14.463591322468,Gas boiler,Luxurious,Personal,Complete,Up to 10 years,,,,1.0,,,
"CZK 17,960","CZK 3,071","CZK 21,000",731892,2+kk,8/26/2022,1,,51 m²,,Good,Other,,,,,191.96,775.9,384.94,1612.12,1060.62,840.41,591.33,330.22,909.68,61.09,"Cukrova, Prague - Černý Most",50.1017559,14.5637255,,,Personal,,,,1.0,,,,"CZK 2,694",
"CZK 15,452","CZK 3,200","CZK 60,000",731891,1 bedroom,8/31/2022,2,C,47 m²,Partly,Good,Brick,,,,,65.71,741.71,62.13,373.04,123.65,157.79,628.06,85.93,274.88,77.04,Prague - Vinohrady,50.0769,14.47629,,,,,,,,,,,,
"CZK 13,500","CZK 2,500","CZK 25,000",731890,1 bedroom,8/31/2022,5,G,34 m²,Unfurnished,Very good,Prefab concrete,,1.0,,,246.83,1125.71,266.13,1352.95,317.8,547.91,323.27,954.4,383.94,131.64,Prague - Záběhlice,50.05399,14.49154,,,,,,,,,,,,
"CZK 11,500","CZK 4,000","CZK 15,500",503210,Small studio,9/1/2022,5,,27 m²,Partly,,Brick,,1.0,,,162.22,1058.42,271.17,224.14,41.79,267.72,616.99,348.36,46.22,410.39,"náměstí Hrdinů, Prague - Nusle",50.0574865,14.4356516,,,Personal,,,,,,,,,
"CZK 12,000","CZK 3,500","CZK 31,000",108759,Studio,10/1/2022,4,C,33 m²,Partly,Very good,Brick,1.0,1.0,,,218.35,1064.26,186.63,1161.29,525.62,1096.93,732.04,583.93,838.79,514.62,"Boloňská, Prague - Horní Měcholupy",50.0483486747,14.5587515831,,,Personal,,,,,,1.0,,,
"CZK 20,000","CZK 4,700","CZK 20,000",660434,3+kk,10/15/2022,,A,62 m²,Fully furnished,New-build,Low-energy,,1.0,,,471.96,128.89,381.46,1479.58,402.79,169.27,282.8,272.75,534.71,148.42,Prague - Stodůlky,50.0370913,14.3429815,Central,,Personal,,Up to 10 years,,,,,1.0,,Housing
"CZK 12,000","CZK 3,500","CZK 20,000",333149,Studio,9/1/2022,7,D,26 m²,Fully furnished,Very good,Prefab concrete,,,,,45.26,1203.52,144.64,801.69,174.79,205.8,175.77,171.44,374.4,238.75,"Vokovická, Prague - Vokovice",50.0969127,14.3475731,,,Personal,,,,,,,,,
"CZK 24,000","CZK 3,892","CZK 24,000",731882,2+kk,8/31/2022,1,G,80 m²,Partly,Very good,Low-energy,1.0,1.0,,,405.6,1464.68,497.77,1080.01,146.99,1119.79,1146.85,267.71,674.66,28.68,Prague - Liboc,50.08978,14.33119,Central,Standard,,,Up to 10 years,,,,1.0,1.0,,
"CZK 20,000","CZK 5,000","CZK 20,000",731881,3+kk,10/1/2022,2,G,70 m²,Fully furnished,Very good,Prefab concrete,1.0,,,1.0,679.55,1577.66,776.93,1418.39,249.69,809.34,630.74,1225.73,1541.32,243.18,Prague - Újezd u Průhonic,50.02246,14.52549,,,,,,,,,,,,
