Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Renovation,Age,Total number of floors,New building,Front garden,Developer name,Project name,Kód jednotky,Administration fee
327297,"CZK 18,500",50.0795223,14.4589054,"Sudoměřská, Prague - Žižkov",1 bedroom with open-plan kitchen,55 m²,"CZK 1,704",Partially furnished,6,No,No,Yes,No,No,Yes,No,,230,500,173,357,41,417,511,336,665,151,New build,"CZK 20,000",Personal,Brick building,,,Gas boiler,,,Attic,Yes,,,,,
627804,"CZK 13,000",50.07479,14.324004,"Čistovická, Prague - Řepy",Studio,35 m²,CZK 500,Partially furnished,1,No,Yes,No,No,No,No,No,01. 01. 2022,234,266,685,"1,426",499,462,517,,,,New build,"CZK 26,000",Personal,Brick building,G,Standard materials and solutions,Gas boiler,,1 to 10 years years,Ground floor,,,,,,
153003,"CZK 14,000",50.0674856,14.3969289,"Ostrovského, Prague - Smíchov",Small studio,30 m²,"CZK 3,000",Furnished,3,Yes,No,No,No,No,No,No,,298,229,221,618,23,316,387,600,501,392,,"CZK 15,000",Personal,Brick building,,,,,,,,,,,,
599189,"CZK 14,900",50.073823,14.41605,"Dittrichova, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 1,760",,2,No,No,No,No,No,Yes,No,16. 03. 2020,134,380,77,225,73,292,375,505,827,344,Excellent,"CZK 14,900",Personal,Brick building,D,,,,,,,,,,,
583093,"CZK 19,500",50.083767,14.507001,"Káranská, Prague - Malešice",3 bedroom,76 m²,"CZK 2,500",Unfurnished,12,Yes,No,Yes,No,No,Yes,No,01. 10. 2021,169,549,242,568,111,722,677,416,709,240,Excellent,"CZK 25,000",Personal,Prefab concrete building,C,,,,,,,,,,,
603139,"CZK 25,000",50.088083,14.425475,"Templová, Prague - Staré Město",3 bedroom,95 m²,"CZK 2,000",Furnished,2,No,No,No,No,No,Yes,No,14. 12. 2021,248,235,19,226,39,357,267,249,241,257,Excellent,"CZK 25,000",Personal,Brick building,C,Standard materials and solutions,,,,,,,,,,
696112,"CZK 16,000",50.02704,14.42587,"Psohlavců, Prague - Braník",3 bedroom,60 m²,"CZK 1,100",Furnished,3,Yes,No,No,No,Yes,Yes,No,01. 01. 2022,327,840,469,826,327,388,491,434,"1,384",47,Good,"CZK 18,000",Personal,Prefab concrete building,G,,District heating,,,,,,,,,
695002,"CZK 23,000",50.101840109189,14.452761226864,"Tusarova, Prague - Holešovice",1 bedroom with open-plan kitchen,65 m²,"CZK 4,000",Furnished,5,No,No,No,No,No,Yes,No,01. 01. 2022,181,539,89,261,7,198,400,363,176,277,New build,"CZK 23,000",Personal,Brick building,B,,,,,,,,,,,
696094,"CZK 9,500",50.07252,14.40967,"Lidická, Prague - Smíchov",Small studio,31 m²,CZK 500,Partially furnished,1,No,No,No,No,No,No,No,10. 01. 2022,120,555,108,166,73,469,594,757,954,514,Excellent,"CZK 19,000",Personal,Brick building,G,,,,,,,,,,,
596154,"CZK 12,800",50.052949,14.418293,"Podolská, Prague - Podolí",Studio,31 m²,"CZK 1,500",Furnished,3,No,No,No,No,No,Yes,No,01. 02. 2022,265,861,206,703,175,900,684,"1,312",236,381,Excellent,"CZK 22,000",Personal,Brick building,G,Standard materials and solutions,Electric boiler,Interior,1 to 10 years years,,,,,,,
