Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Age,Design,Total number of floors,Renovation,Heating,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
672314,"CZK 19,900",50.07758,14.42989,"Čelakovského sady, Prague - Nové Město",1 bedroom with open-plan kitchen,Excellent,42 m²,"CZK 3,200","CZK 38,000",Personal,Brick building,Furnished,4,No,Yes,No,No,No,Yes,No,01. 04. 2022,G,282,471,259,176,29,334,526,604,169,397,1 to 10 years years,Premium materials and solutions,Middle floor,Overall,,,,,,,,
683933,"CZK 12,000",50.1351227,14.379389,"Internacionální, Prague - Suchdol",3 bedroom,Good,75 m²,"CZK 5,500","CZK 17,500",Personal,Brick building,Partially furnished,1,Yes,No,No,No,No,No,No,01. 04. 2022,G,97,120,232,148,162,101,709,316,771,605,,,Middle floor,,Gas boiler,,,,,,,
598547,"CZK 19,900",50.091983,14.43848,"Pobřežní, Prague - Karlín",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 1,000","CZK 25,000",Cooperative,Brick building,Furnished,3,Yes,No,Yes,No,No,No,No,01. 05. 2022,,144,519,224,117,121,116,688,694,188,722,1 to 10 years years,Standard materials and solutions,Middle floor,Interior,Electric boiler,,,,,,,
367139,"CZK 10,500",50.057451557491,14.282505145508,"Prušánecká, Prague - Zličín",Small studio,,29 m²,"CZK 2,500","CZK 13,000",Personal,Brick building,Furnished,2,Yes,No,No,No,No,No,No,,C,226,990,817,747,832,872,221,"1,094",88,,1 to 10 years years,,,,,,,,,,,
593464,"CZK 16,500",50.054531,14.514522,"Práčská, Prague - Záběhlice",2 bedroom,Excellent,57 m²,"CZK 4,500",,Personal,Prefab concrete building,Furnished,7,Yes,No,Yes,No,No,Yes,No,01. 05. 2022,C,310,317,306,358,181,313,790,"1,045",706,205,,Premium materials and solutions,Middle floor,Overall,District heating,,,,,,,
711730,"CZK 14,000",50.10651,14.37298,"Menšíkovská, Prague - Dejvice",1 bedroom with open-plan kitchen,Excellent,44 m²,"CZK 4,000","CZK 18,000",Personal,Brick building,Partially furnished,3,No,No,No,No,No,No,No,01. 04. 2022,D,277,335,"1,320",151,475,455,676,210,238,,,,Top floor,,Gas boiler,,70 m²,,,,,
711728,"CZK 27,000",50.0876289,14.3978335,"Šporkova, Prague - Malá Strana",Studio,,40 m²,"CZK 9,000",,,,Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,,29,634,152,537,130,317,388,899,984,129,,,,,,,,,,,,
711727,"CZK 26,250",50.088447,14.458108,"Koněvova, Prague - Žižkov",Studio,,35 m²,"CZK 8,750",,,,Furnished,3,Yes,No,No,No,No,Yes,Yes,17. 05. 2022,,202,261,167,291,120,196,324,494,176,433,,,,,,,,,,,,
711726,"CZK 15,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",Other,Excellent,1 m²,CZK 133,CZK 1,Personal,Other,Furnished,15,No,Yes,Yes,No,Yes,Yes,No,14. 04. 2022,A,,,,,,,,,,,,,,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,000,
711070,"CZK 16,900",50.0573177,14.4207856,Prague - Podolí,1 bedroom with open-plan kitchen,Excellent,59 m²,"CZK 3,100","CZK 25,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,No,Yes,No,01. 04. 2022,C,172,280,180,81,167,277,67,681,458,95,,,,,,,,,,,,
684383,"CZK 17,500",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,50 m²,CZK 133,"CZK 35,000",Personal,Other,Unfurnished,9,No,Yes,Yes,No,Yes,Yes,No,27. 05. 2022,A,,,,,,,,,,,1 to 10 years years,Premium materials and solutions,Middle floor,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,905,
711721,"CZK 16,000",50.06453,14.27368,"Želetická, Prague - Sobín",2 bedroom with open-plan kitchen,New build,48 m²,"CZK 4,500","CZK 20,000",Personal,Brick building,Partially furnished,2,Yes,No,No,No,Yes,Yes,No,05. 04. 2022,B,343,"1,159",323,966,,,,,,,,,,,,,,,,,,
711719,"CZK 55,000",50.07202,14.44518,"Francouzská, Prague - Vinohrady",1 bedroom with open-plan kitchen,Excellent,99 m²,CZK 133,"CZK 110,000",Personal,Brick building,Furnished,4,Yes,No,No,No,No,No,No,01. 04. 2022,A,,,,,,,,,,,,,,,,Yes,,,Luka Residential s.r.o.,Luka Living Rental apartments,F402,
711716,"CZK 20,000",50.1056,14.45912,"Sanderova, Prague - Holešovice",1 bedroom with open-plan kitchen,New build,52 m²,"CZK 4,000","CZK 40,000",Personal,Other,Partially furnished,3,Yes,No,Yes,No,Yes,Yes,No,01. 04. 2022,B,494,"1,197",623,796,433,672,"1,127","1,107",584,175,,,,,,,,,,,,
689888,"CZK 11,050",49.9564,14.38078,"K Vejvoďáku, Prague - Zbraslav",4 bedroom with open-plan kitchen,New build,150 m²,"CZK 1,950","CZK 13,000",Personal,Other,Partially furnished,1,Yes,Yes,Yes,Yes,Yes,No,Yes,31. 03. 2022,G,120,"1,019","1,319","1,281",953,970,,,,,,,,,,,,,,,,
